model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
logistic_l2,macro_event_only,42,train,17197,1694,0.09850555329417922,0.4988366166210928,0.7285683023912575,0.24183416287033419,0.17884615384615385,0.6587957497048406,0.2813208974035795,10379,5124,578,1116,failure_pressure_profit_roa_next_4obs
logistic_l2,macro_event_only,42,validation,6043,904,0.14959457223233494,0.4988366166210928,0.549151723674762,0.1732317385773232,0.1782178217821782,0.5973451327433629,0.2745297407219115,2649,2490,364,540,failure_pressure_profit_roa_next_4obs
logistic_l2,macro_event_only,42,test,4412,591,0.13395285584768812,0.4988366166210928,0.5664689880617888,0.16368163645280343,0.13395285584768812,1.0,0.23625824505296822,0,3821,0,591,failure_pressure_profit_roa_next_4obs
random_forest,macro_event_only,42,train,17197,1694,0.09850555329417922,0.28273481426879093,0.9223034754061007,0.5296082328711759,0.21955024047835695,0.9970484061393152,0.3598593799936082,9499,6004,5,1689,failure_pressure_profit_roa_next_4obs
random_forest,macro_event_only,42,validation,6043,904,0.14959457223233494,0.28273481426879093,0.6488278512227337,0.25217429227269333,0.18771065595022038,0.8008849557522124,0.3041377861793741,2006,3133,180,724,failure_pressure_profit_roa_next_4obs
random_forest,macro_event_only,42,test,4412,591,0.13395285584768812,0.28273481426879093,0.5923545231158647,0.16671707184933174,0.15412782956058588,0.7834179357021996,0.2575799721835883,1280,2541,128,463,failure_pressure_profit_roa_next_4obs
gradient_boosting,macro_event_only,42,train,17197,1694,0.09850555329417922,0.20612252664656075,0.7774194749677501,0.30461205102179245,0.11513157894736842,0.9917355371900827,0.2063121699619305,2591,12912,14,1680,failure_pressure_profit_roa_next_4obs
gradient_boosting,macro_event_only,42,validation,6043,904,0.14959457223233494,0.20612252664656075,0.6059132445450115,0.23366714350191997,0.17331887201735358,0.8838495575221239,0.28980776206021036,1328,3811,105,799,failure_pressure_profit_roa_next_4obs
gradient_boosting,macro_event_only,42,test,4412,591,0.13395285584768812,0.20612252664656075,0.6071894964642365,0.17629758895196607,0.1520110957004161,0.9272419627749577,0.26120114394661587,764,3057,43,548,failure_pressure_profit_roa_next_4obs
logistic_l2,all_features,42,train,17197,1694,0.09850555329417922,0.664416794179412,0.9258253782011646,0.6130297070770652,0.4893037728510307,0.7426210153482881,0.5899179366940211,14190,1313,436,1258,failure_pressure_profit_roa_next_4obs
logistic_l2,all_features,42,validation,6043,904,0.14959457223233494,0.664416794179412,0.7395108462615398,0.3426250358027076,0.28160919540229884,0.7588495575221239,0.4107784431137725,3389,1750,218,686,failure_pressure_profit_roa_next_4obs
logistic_l2,all_features,42,test,4412,591,0.13395285584768812,0.664416794179412,0.8255384461416583,0.471470743527477,0.13441350981287084,0.9966159052453468,0.2368791473959381,28,3793,2,589,failure_pressure_profit_roa_next_4obs
random_forest,all_features,42,train,17197,1694,0.09850555329417922,0.3565748007808771,0.996833571687119,0.9696902474236262,0.6759776536312849,1.0,0.8066666666666666,14691,812,0,1694,failure_pressure_profit_roa_next_4obs
random_forest,all_features,42,validation,6043,904,0.14959457223233494,0.3565748007808771,0.8866950114257276,0.5978151125231604,0.56289592760181,0.6880530973451328,0.6192135390741663,4656,483,282,622,failure_pressure_profit_roa_next_4obs
random_forest,all_features,42,test,4412,591,0.13395285584768812,0.3565748007808771,0.9085457470537519,0.6831003136121622,0.5887323943661972,0.7072758037225042,0.6425826287471176,3529,292,173,418,failure_pressure_profit_roa_next_4obs
gradient_boosting,all_features,42,train,17197,1694,0.09850555329417922,0.6253851069187069,0.9563506046474152,0.7329548484614796,0.5163043478260869,0.8412042502951594,0.6398742703188145,14168,1335,269,1425,failure_pressure_profit_roa_next_4obs
gradient_boosting,all_features,42,validation,6043,904,0.14959457223233494,0.6253851069187069,0.8857920173168223,0.5934356987570396,0.52101506740682,0.7267699115044248,0.6069284064665128,4535,604,247,657,failure_pressure_profit_roa_next_4obs
gradient_boosting,all_features,42,test,4412,591,0.13395285584768812,0.6253851069187069,0.9092033472514306,0.6534109164824528,0.5247747747747747,0.7884940778341794,0.6301555104800541,3399,422,125,466,failure_pressure_profit_roa_next_4obs
logistic_l2,firm_core,42,train,17164,3272,0.19063155441621998,0.7020928747583333,0.9633169773882632,0.8388391491631041,0.7341351074718526,0.8768337408312958,0.7991643454038998,12853,1039,403,2869,success_composite_strict_next_4obs
logistic_l2,firm_core,42,validation,6012,1003,0.166833000665336,0.7020928747583333,0.9401086021233563,0.6953735695793147,0.6205813040062844,0.7876370887337986,0.694200351493849,4526,483,213,790,success_composite_strict_next_4obs
logistic_l2,firm_core,42,test,4350,788,0.1811494252873563,0.7020928747583333,0.9370445081614446,0.7036537009364277,0.6253776435045317,0.7880710659898477,0.6973610331274563,3190,372,167,621,success_composite_strict_next_4obs
random_forest,firm_core,42,train,17164,3272,0.19063155441621998,0.4687437677559284,0.9965822839058134,0.9855218699595438,0.8554821664464993,0.9896088019559902,0.917670398186198,13345,547,34,3238,success_composite_strict_next_4obs
random_forest,firm_core,42,validation,6012,1003,0.166833000665336,0.4687437677559284,0.9656774336602888,0.8450650539331119,0.7186721991701245,0.8634097706879362,0.7844202898550725,4670,339,137,866,success_composite_strict_next_4obs
random_forest,firm_core,42,test,4350,788,0.1811494252873563,0.4687437677559284,0.9585807038195049,0.8101486066482315,0.7164021164021164,0.8591370558375635,0.7813040969417195,3294,268,111,677,success_composite_strict_next_4obs
gradient_boosting,firm_core,42,train,17164,3272,0.19063155441621998,0.6630461608417867,0.9805324976398441,0.9098568490933622,0.7953029089938618,0.910757946210269,0.849123806810087,13125,767,292,2980,success_composite_strict_next_4obs
gradient_boosting,firm_core,42,validation,6012,1003,0.166833000665336,0.6630461608417867,0.9646462887241649,0.8487994396165752,0.7122719734660033,0.8564307078763709,0.7777274784970575,4662,347,144,859,success_composite_strict_next_4obs
gradient_boosting,firm_core,42,test,4350,788,0.1811494252873563,0.6630461608417867,0.9620612885021533,0.8140305625677774,0.7096774193548387,0.8654822335025381,0.779874213836478,3283,279,106,682,success_composite_strict_next_4obs
logistic_l2,ratios_trends_only,42,train,17164,3272,0.19063155441621998,0.6779558930016872,0.9591234656346512,0.8156959398571615,0.720504575810042,0.8902811735941321,0.7964456596035542,12762,1130,359,2913,success_composite_strict_next_4obs
logistic_l2,ratios_trends_only,42,validation,6012,1003,0.166833000665336,0.6779558930016872,0.9374806305778214,0.6819842751633266,0.5966690803765388,0.8215353938185443,0.691275167785235,4452,557,179,824,success_composite_strict_next_4obs
logistic_l2,ratios_trends_only,42,test,4350,788,0.1811494252873563,0.6779558930016872,0.9351160159267166,0.700000873407517,0.6118546845124283,0.8121827411167513,0.6979280261723009,3156,406,148,640,success_composite_strict_next_4obs
random_forest,ratios_trends_only,42,train,17164,3272,0.19063155441621998,0.4940505861452731,0.9957026704257855,0.9820290477121271,0.8480042294475284,0.980440097799511,0.909425939050319,13317,575,64,3208,success_composite_strict_next_4obs
random_forest,ratios_trends_only,42,validation,6012,1003,0.166833000665336,0.4940505861452731,0.9628266328982705,0.844044008065011,0.7282889079965607,0.8444666001994018,0.7820867959372113,4693,316,156,847,success_composite_strict_next_4obs
random_forest,ratios_trends_only,42,test,4350,788,0.1811494252873563,0.4940505861452731,0.9603093283018438,0.8107380675371951,0.7261904761904762,0.8515228426395939,0.7838785046728971,3309,253,117,671,success_composite_strict_next_4obs
gradient_boosting,ratios_trends_only,42,train,17164,3272,0.19063155441621998,0.7541147037583953,0.9783416644256039,0.9036346301636483,0.8203661327231121,0.8765281173594132,0.847517730496454,13264,628,404,2868,success_composite_strict_next_4obs
gradient_boosting,ratios_trends_only,42,validation,6012,1003,0.166833000665336,0.7541147037583953,0.9631938681858199,0.843105482145245,0.7460757156048015,0.8055832502492523,0.7746883988494726,4734,275,195,808,success_composite_strict_next_4obs
gradient_boosting,ratios_trends_only,42,test,4350,788,0.1811494252873563,0.7541147037583953,0.9620140826604571,0.8126519513602535,0.7418981481481481,0.8134517766497462,0.7760290556900726,3339,223,147,641,success_composite_strict_next_4obs
logistic_l2,raw_accounting_only,42,train,17164,3272,0.19063155441621998,0.6108836266908614,0.9369104780186939,0.7585829351722704,0.5641122913505311,0.9089242053789731,0.6961610486891385,11594,2298,298,2974,success_composite_strict_next_4obs
logistic_l2,raw_accounting_only,42,validation,6012,1003,0.166833000665336,0.6108836266908614,0.8997559129359773,0.5836870242790188,0.4558448187850944,0.8903290129611167,0.6029709655638082,3943,1066,110,893,success_composite_strict_next_4obs
logistic_l2,raw_accounting_only,42,test,4350,788,0.1811494252873563,0.6108836266908614,0.8931491319825454,0.5804621860228684,0.4604221635883905,0.8857868020304569,0.6059027777777778,2744,818,90,698,success_composite_strict_next_4obs
random_forest,raw_accounting_only,42,train,17164,3272,0.19063155441621998,0.5077488325750429,0.9964271951738067,0.9851588571879023,0.8587449933244325,0.9828850855745721,0.9166310389055152,13363,529,56,3216,success_composite_strict_next_4obs
random_forest,raw_accounting_only,42,validation,6012,1003,0.166833000665336,0.5077488325750429,0.9546660477740267,0.795361954382858,0.6645316253002402,0.827517447657029,0.7371225577264654,4590,419,173,830,success_composite_strict_next_4obs
random_forest,raw_accounting_only,42,test,4350,788,0.1811494252873563,0.5077488325750429,0.9358077151090044,0.7376641535132352,0.6404145077720207,0.7842639593908629,0.7050770108385623,3215,347,170,618,success_composite_strict_next_4obs
gradient_boosting,raw_accounting_only,42,train,17164,3272,0.19063155441621998,0.7208689239909633,0.9731687363644235,0.876401206212295,0.7809187279151943,0.8780562347188264,0.8266436483959144,13086,806,399,2873,success_composite_strict_next_4obs
gradient_boosting,raw_accounting_only,42,validation,6012,1003,0.166833000665336,0.7208689239909633,0.9502293677959932,0.7815550979058566,0.6666666666666666,0.8155533399800599,0.7336322869955156,4600,409,185,818,success_composite_strict_next_4obs
gradient_boosting,raw_accounting_only,42,test,4350,788,0.1811494252873563,0.7208689239909633,0.9347137865284147,0.714385560188907,0.6345338983050848,0.7601522842639594,0.6916859122401848,3217,345,189,599,success_composite_strict_next_4obs
logistic_l2,macro_event_only,42,train,17164,3272,0.19063155441621998,0.49569959907963623,0.7055386708291769,0.34909299906781127,0.2982264665757162,0.6680929095354523,0.41237502358045647,8748,5144,1086,2186,success_composite_strict_next_4obs
logistic_l2,macro_event_only,42,validation,6012,1003,0.166833000665336,0.49569959907963623,0.5828886867049082,0.21008052016469964,0.2123827392120075,0.5643070787637089,0.3086150490730643,2910,2099,437,566,success_composite_strict_next_4obs
logistic_l2,macro_event_only,42,test,4350,788,0.1811494252873563,0.49569959907963623,0.5474203165392169,0.20464116320598716,0.2537313432835821,0.021573604060913704,0.039766081871345026,3512,50,771,17,success_composite_strict_next_4obs
random_forest,macro_event_only,42,train,17164,3272,0.19063155441621998,0.40995925012224066,0.8745276388162402,0.6007124351932627,0.40382483370288247,0.8905867970660146,0.5556826849733028,9590,4302,358,2914,success_composite_strict_next_4obs
random_forest,macro_event_only,42,validation,6012,1003,0.166833000665336,0.40995925012224066,0.6426887236075762,0.2672240752911943,0.2368006304176517,0.5992023928215354,0.3394521321660548,3072,1937,402,601,success_composite_strict_next_4obs
random_forest,macro_event_only,42,test,4350,788,0.1811494252873563,0.40995925012224066,0.6249419279079511,0.25909427720659806,0.22575032622879512,0.6586294416243654,0.33624878522837703,1782,1780,269,519,success_composite_strict_next_4obs
gradient_boosting,macro_event_only,42,train,17164,3272,0.19063155441621998,0.6281430199891224,0.728171670719353,0.39011626214567163,0.4252830188679245,0.34443765281173594,0.3806146572104019,12369,1523,2145,1127,success_composite_strict_next_4obs
gradient_boosting,macro_event_only,42,validation,6012,1003,0.166833000665336,0.6281430199891224,0.643499228805896,0.2508879234363378,0.28874734607218683,0.4067796610169492,0.33774834437086093,4004,1005,595,408,success_composite_strict_next_4obs
gradient_boosting,macro_event_only,42,test,4350,788,0.1811494252873563,0.6281430199891224,0.6233461923233682,0.2561575143545593,0.2931854199683043,0.23477157360406092,0.2607470049330515,3116,446,603,185,success_composite_strict_next_4obs
logistic_l2,all_features,42,train,17164,3272,0.19063155441621998,0.5905019294267579,0.9639796382431851,0.8404404215641189,0.6851471594798083,0.9177872860635696,0.7845852384062703,12512,1380,269,3003,success_composite_strict_next_4obs
logistic_l2,all_features,42,validation,6012,1003,0.166833000665336,0.5905019294267579,0.9168780342940036,0.6340020967940192,0.5444887118193891,0.8175473579262214,0.6536468712634516,4323,686,183,820,success_composite_strict_next_4obs
logistic_l2,all_features,42,test,4350,788,0.1811494252873563,0.5905019294267579,0.9241254271683336,0.6542996266623576,0.6651718983557549,0.5647208121827412,0.6108442004118052,3338,224,343,445,success_composite_strict_next_4obs
random_forest,all_features,42,train,17164,3272,0.19063155441621998,0.5219617421965367,0.9973578485656378,0.9888107457324051,0.887180894866868,0.9877750611246944,0.9347794649313088,13481,411,40,3232,success_composite_strict_next_4obs
random_forest,all_features,42,validation,6012,1003,0.166833000665336,0.5219617421965367,0.9664000611461682,0.8467544050400225,0.7622180451127819,0.8085742771684945,0.7847121432027092,4756,253,192,811,success_composite_strict_next_4obs
random_forest,all_features,42,test,4350,788,0.1811494252873563,0.5219617421965367,0.9600823839911987,0.8050046012704076,0.7514934289127837,0.7982233502538071,0.7741538461538461,3354,208,159,629,success_composite_strict_next_4obs
gradient_boosting,all_features,42,train,17164,3272,0.19063155441621998,0.7285281217856578,0.9807072543378645,0.9097496540155864,0.8158632286995515,0.8896699266503667,0.8511695906432748,13235,657,361,2911,success_composite_strict_next_4obs
gradient_boosting,all_features,42,validation,6012,1003,0.166833000665336,0.7285281217856578,0.9640542337849698,0.8460949972825131,0.7378815080789947,0.8195413758723828,0.776570618800189,4717,292,181,822,success_composite_strict_next_4obs
gradient_boosting,all_features,42,test,4350,788,0.1811494252873563,0.7285281217856578,0.9614515315356398,0.8099933673225075,0.7304730473047305,0.8426395939086294,0.7825574543311727,3317,245,124,664,success_composite_strict_next_4obs
logistic_l2,firm_core,42,train,17164,5651,0.32923560941505475,0.5801033092424921,0.9486406870535725,0.8886032232843011,0.7791942083726786,0.8761281189170058,0.8248229904206581,10110,1403,700,4951,success_resilience_quality_v2_next_4obs
logistic_l2,firm_core,42,validation,6012,1828,0.3040585495675316,0.5801033092424921,0.9266248467643748,0.8060364916860477,0.7067901234567902,0.8769146608315098,0.7827148437499999,3519,665,225,1603,success_resilience_quality_v2_next_4obs
logistic_l2,firm_core,42,test,4350,1449,0.3331034482758621,0.5801033092424921,0.9275331392592308,0.8113022517665991,0.7504587155963303,0.8467908902691511,0.7957198443579765,2493,408,222,1227,success_resilience_quality_v2_next_4obs
random_forest,firm_core,42,train,17164,5651,0.32923560941505475,0.4782071602398889,0.9963170437093547,0.9928072303801795,0.901992548193747,0.9853123341001593,0.9418132611637348,10908,605,83,5568,success_resilience_quality_v2_next_4obs
random_forest,firm_core,42,validation,6012,1828,0.3040585495675316,0.4782071602398889,0.9637237538230459,0.9140718160970641,0.8083774675012037,0.9184901531728665,0.8599231754161331,3786,398,149,1679,success_resilience_quality_v2_next_4obs
random_forest,firm_core,42,test,4350,1449,0.3331034482758621,0.4782071602398889,0.9697008408846906,0.9307265042301898,0.836272040302267,0.9164941338854382,0.8745472505762265,2641,260,121,1328,success_resilience_quality_v2_next_4obs
gradient_boosting,firm_core,42,train,17164,5651,0.32923560941505475,0.6107501156441897,0.9746528214287488,0.9433980350532527,0.854846645891422,0.9223146345779508,0.8872999659516514,10628,885,439,5212,success_resilience_quality_v2_next_4obs
gradient_boosting,firm_core,42,validation,6012,1828,0.3040585495675316,0.6107501156441897,0.9610725290886194,0.9093824732835823,0.8199291856348002,0.8867614879649891,0.8520367936925098,3828,356,207,1621,success_resilience_quality_v2_next_4obs
gradient_boosting,firm_core,42,test,4350,1449,0.3331034482758621,0.6107501156441897,0.9677022915636286,0.926326966671753,0.8499673842139596,0.8992408557625949,0.8739101274312542,2671,230,146,1303,success_resilience_quality_v2_next_4obs
logistic_l2,ratios_trends_only,42,train,17164,5651,0.32923560941505475,0.5950904040752151,0.9436601201264132,0.875862375467418,0.7810509554140127,0.867987966731552,0.8222278099069651,10138,1375,746,4905,success_resilience_quality_v2_next_4obs
logistic_l2,ratios_trends_only,42,validation,6012,1828,0.3040585495675316,0.5950904040752151,0.9253246973988647,0.8070440099998405,0.7128757290264692,0.8692560175054704,0.7833374414592063,3544,640,239,1589,success_resilience_quality_v2_next_4obs
logistic_l2,ratios_trends_only,42,test,4350,1449,0.3331034482758621,0.5950904040752151,0.9268506207492764,0.8114837136011862,0.7652228499686127,0.8412698412698413,0.8014464168310323,2527,374,230,1219,success_resilience_quality_v2_next_4obs
random_forest,ratios_trends_only,42,train,17164,5651,0.32923560941505475,0.5224537735135305,0.9952105337041154,0.9905690761534696,0.9106053109021937,0.9769952220845868,0.9426327471401742,10971,542,130,5521,success_resilience_quality_v2_next_4obs
random_forest,ratios_trends_only,42,validation,6012,1828,0.3040585495675316,0.5224537735135305,0.9625540247101597,0.9123514329915484,0.8216624685138539,0.8922319474835886,0.8554943613952268,3830,354,197,1631,success_resilience_quality_v2_next_4obs
random_forest,ratios_trends_only,42,test,4350,1449,0.3331034482758621,0.5224537735135305,0.9696068726687854,0.9304688640802946,0.8565737051792829,0.8902691511387164,0.8730964467005077,2685,216,159,1290,success_resilience_quality_v2_next_4obs
gradient_boosting,ratios_trends_only,42,train,17164,5651,0.32923560941505475,0.5876665220503099,0.9736857366488204,0.9407451994736856,0.8454824632293518,0.9256768713502035,0.8837641493495523,10557,956,420,5231,success_resilience_quality_v2_next_4obs
gradient_boosting,ratios_trends_only,42,validation,6012,1828,0.3040585495675316,0.5876665220503099,0.9600986591621307,0.9070142224429742,0.8058444774640912,0.8900437636761488,0.8458539121393294,3792,392,201,1627,success_resilience_quality_v2_next_4obs
gradient_boosting,ratios_trends_only,42,test,4350,1449,0.3331034482758621,0.5876665220503099,0.9675638371290546,0.9258935285140851,0.8409236690186017,0.9047619047619048,0.8716755319148936,2653,248,138,1311,success_resilience_quality_v2_next_4obs
logistic_l2,raw_accounting_only,42,train,17164,5651,0.32923560941505475,0.6055529820178454,0.9089165252061395,0.799109867644682,0.7068991660348749,0.8249867280127411,0.761391474767271,9580,1933,989,4662,success_resilience_quality_v2_next_4obs
logistic_l2,raw_accounting_only,42,validation,6012,1828,0.3040585495675316,0.6055529820178454,0.8732627630109074,0.6901573185473031,0.6154458598726115,0.8457330415754923,0.712442396313364,3218,966,282,1546,success_resilience_quality_v2_next_4obs
logistic_l2,raw_accounting_only,42,test,4350,1449,0.3331034482758621,0.6055529820178454,0.8778670118987549,0.7268920794710289,0.6421052631578947,0.841959972394755,0.7285756942370857,2221,680,229,1220,success_resilience_quality_v2_next_4obs
random_forest,raw_accounting_only,42,train,17164,5651,0.32923560941505475,0.5222103221249095,0.9954101495569557,0.9911108340417764,0.9088808187520634,0.9743408246328084,0.9404731403194124,10961,552,145,5506,success_resilience_quality_v2_next_4obs
random_forest,raw_accounting_only,42,validation,6012,1828,0.3040585495675316,0.5222103221249095,0.9514406502211196,0.8846724102820688,0.7791030534351145,0.8933260393873085,0.8323139653414883,3721,463,195,1633,success_resilience_quality_v2_next_4obs
random_forest,raw_accounting_only,42,test,4350,1449,0.3331034482758621,0.5222103221249095,0.9516725034012925,0.8959713709543404,0.8044728434504792,0.8688750862663907,0.8354346383543464,2595,306,190,1259,success_resilience_quality_v2_next_4obs
gradient_boosting,raw_accounting_only,42,train,17164,5651,0.32923560941505475,0.6382970581768908,0.9615958665700441,0.9136989384880336,0.8221362977283712,0.9030260130950274,0.8606847697756788,10409,1104,548,5103,success_resilience_quality_v2_next_4obs
gradient_boosting,raw_accounting_only,42,validation,6012,1828,0.3040585495675316,0.6382970581768908,0.9411417649187694,0.8588449006182232,0.7633107454017425,0.862691466083151,0.809964047252183,3695,489,251,1577,success_resilience_quality_v2_next_4obs
gradient_boosting,raw_accounting_only,42,test,4350,1449,0.3331034482758621,0.6382970581768908,0.9459304506739424,0.8775492264987228,0.806640625,0.855072463768116,0.8301507537688442,2604,297,210,1239,success_resilience_quality_v2_next_4obs
logistic_l2,macro_event_only,42,train,17164,5651,0.32923560941505475,0.2696613025768886,0.6680028237950275,0.48335486226420943,0.3487357774968394,0.9762873827641125,0.5139024731032555,1210,10303,134,5517,success_resilience_quality_v2_next_4obs
logistic_l2,macro_event_only,42,validation,6012,1828,0.3040585495675316,0.2696613025768886,0.5878983472518001,0.36905396611434144,0.33569687569244405,0.8287746170678337,0.4778426115754614,1186,2998,313,1515,success_resilience_quality_v2_next_4obs
logistic_l2,macro_event_only,42,test,4350,1449,0.3331034482758621,0.2696613025768886,0.5306205542031269,0.36110077922937317,0.4645161290322581,0.049689440993788817,0.08977556109725685,2818,83,1377,72,success_resilience_quality_v2_next_4obs
random_forest,macro_event_only,42,train,17164,5651,0.32923560941505475,0.44974289229499737,0.8228876183037486,0.6957174288249574,0.5358176137021178,0.8193240134489471,0.647914917436328,7502,4011,1021,4630,success_resilience_quality_v2_next_4obs
random_forest,macro_event_only,42,validation,6012,1828,0.3040585495675316,0.44974289229499737,0.6227593865972696,0.39942521238842466,0.34991039426523296,0.8544857768052516,0.4965034965034965,1282,2902,266,1562,success_resilience_quality_v2_next_4obs
random_forest,macro_event_only,42,test,4350,1449,0.3331034482758621,0.44974289229499737,0.5868987134442825,0.4046875839555323,0.35774410774410775,0.8799171842650103,0.5086774386594853,612,2289,174,1275,success_resilience_quality_v2_next_4obs
gradient_boosting,macro_event_only,42,train,17164,5651,0.32923560941505475,0.4701914016768873,0.6914999244619922,0.5144408816387256,0.4528746465598492,0.6802335869757565,0.5437442534832733,6869,4644,1807,3844,success_resilience_quality_v2_next_4obs
gradient_boosting,macro_event_only,42,validation,6012,1828,0.3040585495675316,0.4701914016768873,0.6163636297074193,0.3891100694327728,0.3573225968797182,0.7768052516411379,0.4894863840055153,1630,2554,408,1420,success_resilience_quality_v2_next_4obs
gradient_boosting,macro_event_only,42,test,4350,1449,0.3331034482758621,0.4701914016768873,0.5947444647368212,0.40748767106887124,0.36077705827937095,0.8074534161490683,0.49872122762148335,828,2073,279,1170,success_resilience_quality_v2_next_4obs
logistic_l2,all_features,42,train,17164,5651,0.32923560941505475,0.29261152423899867,0.9498021386824337,0.8912741343287518,0.6568957232099952,0.9676163510883029,0.7825402504472273,8657,2856,183,5468,success_resilience_quality_v2_next_4obs
logistic_l2,all_features,42,validation,6012,1828,0.3040585495675316,0.29261152423899867,0.9193960999702943,0.794103645556883,0.693813974187806,0.8528446389496718,0.7651533742331289,3496,688,269,1559,success_resilience_quality_v2_next_4obs
logistic_l2,all_features,42,test,4350,1449,0.3331034482758621,0.29261152423899867,0.8831149583363962,0.7213031738375291,0.763915547024952,0.274672187715666,0.4040609137055837,2778,123,1051,398,success_resilience_quality_v2_next_4obs
random_forest,all_features,42,train,17164,5651,0.32923560941505475,0.48301504062351375,0.9973690424631814,0.9948882546651333,0.9140101356874285,0.9893824101928862,0.9502039428959891,10987,526,60,5591,success_resilience_quality_v2_next_4obs
random_forest,all_features,42,validation,6012,1828,0.3040585495675316,0.48301504062351375,0.9637945533887561,0.9147848857708147,0.8101694915254237,0.9152078774617067,0.8594913948111995,3792,392,155,1673,success_resilience_quality_v2_next_4obs
random_forest,all_features,42,test,4350,1449,0.3331034482758621,0.48301504062351375,0.9691777115004488,0.9287024851531621,0.8381795195954488,0.9151138716356108,0.8749587594853184,2645,256,123,1326,success_resilience_quality_v2_next_4obs
gradient_boosting,all_features,42,train,17164,5651,0.32923560941505475,0.6065535024268486,0.9749322866968124,0.9440218705779213,0.8530518736704303,0.9224915944080694,0.8864138751912939,10615,898,438,5213,success_resilience_quality_v2_next_4obs
gradient_boosting,all_features,42,validation,6012,1828,0.3040585495675316,0.6065535024268486,0.9607412812590216,0.9084807633916839,0.8138484696437531,0.887308533916849,0.848992410363779,3813,371,206,1622,success_resilience_quality_v2_next_4obs
gradient_boosting,all_features,42,test,4350,1449,0.3331034482758621,0.6065535024268486,0.9671427643641124,0.926452600340268,0.8436692506459949,0.9013112491373361,0.8715382048715382,2659,242,143,1306,success_resilience_quality_v2_next_4obs
logistic_l2,firm_core,42,train,17164,1390,0.08098345374038686,0.7346395452018979,0.9564699400616441,0.6429757226882573,0.49476896251089797,0.8165467625899281,0.6161780673181325,14615,1159,255,1135,success_quality_growth_next_4obs
logistic_l2,firm_core,42,validation,6012,488,0.08117099135063206,0.7346395452018979,0.9332692067995393,0.5251186736204944,0.5061349693251533,0.6762295081967213,0.5789473684210525,5202,322,158,330,success_quality_growth_next_4obs
logistic_l2,firm_core,42,test,4350,352,0.08091954022988505,0.7346395452018979,0.9220490927281824,0.4620767526164877,0.46065259117082535,0.6818181818181818,0.5498281786941581,3717,281,112,240,success_quality_growth_next_4obs
random_forest,firm_core,42,train,17164,1390,0.08098345374038686,0.4049658497627304,0.9972991709333181,0.9676209883327014,0.7281299109481404,1.0,0.8426795998787511,15255,519,0,1390,success_quality_growth_next_4obs
random_forest,firm_core,42,validation,6012,488,0.08117099135063206,0.4049658497627304,0.9587342787360075,0.7247519568005457,0.6471663619744058,0.7254098360655737,0.6840579710144927,5331,193,134,354,success_quality_growth_next_4obs
random_forest,firm_core,42,test,4350,352,0.08091954022988505,0.4049658497627304,0.9511545545500024,0.5941079836718708,0.5601659751037344,0.7670454545454546,0.6474820143884892,3786,212,82,270,success_quality_growth_next_4obs
gradient_boosting,firm_core,42,train,17164,1390,0.08098345374038686,0.7862724553859207,0.980569131609889,0.7977930840048475,0.6566666666666666,0.8503597122302158,0.7410658307210031,15156,618,208,1182,success_quality_growth_next_4obs
gradient_boosting,firm_core,42,validation,6012,488,0.08117099135063206,0.7862724553859207,0.9615990135444736,0.7312723412793892,0.6620825147347741,0.6905737704918032,0.6760280842527582,5352,172,151,337,success_quality_growth_next_4obs
gradient_boosting,firm_core,42,test,4350,352,0.08091954022988505,0.7862724553859207,0.9526783988585201,0.5944967707764917,0.5471698113207547,0.7414772727272727,0.629674306393245,3782,216,91,261,success_quality_growth_next_4obs
logistic_l2,ratios_trends_only,42,train,17164,1390,0.08098345374038686,0.7465387180846653,0.9511922907470903,0.6003613577462806,0.48894783377542,0.7956834532374101,0.6056955093099672,14618,1156,284,1106,success_quality_growth_next_4obs
logistic_l2,ratios_trends_only,42,validation,6012,488,0.08117099135063206,0.7465387180846653,0.9335010564926818,0.5250941233283181,0.5056,0.6475409836065574,0.5678346810422282,5215,309,172,316,success_quality_growth_next_4obs
logistic_l2,ratios_trends_only,42,test,4350,352,0.08091954022988505,0.7465387180846653,0.9208155213970622,0.45601462400344356,0.45564516129032256,0.6420454545454546,0.5330188679245284,3728,270,126,226,success_quality_growth_next_4obs
random_forest,ratios_trends_only,42,train,17164,1390,0.08098345374038686,0.4434726101626348,0.9964618035506931,0.9583740984584148,0.7377919320594479,1.0,0.8491142333536957,15280,494,0,1390,success_quality_growth_next_4obs
random_forest,ratios_trends_only,42,validation,6012,488,0.08117099135063206,0.4434726101626348,0.9561548117899835,0.7164786037183365,0.6726190476190477,0.694672131147541,0.683467741935484,5359,165,149,339,success_quality_growth_next_4obs
random_forest,ratios_trends_only,42,test,4350,352,0.08091954022988505,0.4434726101626348,0.9512270339715312,0.5955025934761892,0.5849889624724062,0.7528409090909091,0.6583850931677018,3810,188,87,265,success_quality_growth_next_4obs
gradient_boosting,ratios_trends_only,42,train,17164,1390,0.08098345374038686,0.7937985216716003,0.9798474951495632,0.7904939365300363,0.6578651685393259,0.8424460431654677,0.738801261829653,15165,609,219,1171,success_quality_growth_next_4obs
