model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
random_forest,all_features,42,train,17197,1529,0.08891085654474618,0.34425989061229245,0.9975855275581794,0.9738549441542743,0.7078703703703704,1.0,0.8289509352127948,15037,631,0,1529,failure_pressure_conservative_v2_next_4obs
random_forest,all_features,42,validation,6043,787,0.13023332781730929,0.34425989061229245,0.9332128925325736,0.7259917053568805,0.6255230125523012,0.7598475222363406,0.6861732644865175,4898,358,189,598,failure_pressure_conservative_v2_next_4obs
random_forest,all_features,42,test,4412,514,0.11650045330915684,0.34425989061229245,0.9352002323849604,0.7378227485283213,0.6380655226209049,0.7957198443579766,0.7082251082251083,3666,232,105,409,failure_pressure_conservative_v2_next_4obs
gradient_boosting,all_features,42,train,17197,1529,0.08891085654474618,0.7102712240670679,0.9762940315002623,0.8205238166687092,0.6249405045216564,0.8587311968606932,0.7234159779614324,14880,788,216,1313,failure_pressure_conservative_v2_next_4obs
gradient_boosting,all_features,42,validation,6043,787,0.13023332781730929,0.7102712240670679,0.9340711118073566,0.7162564933740628,0.6189979123173278,0.7534942820838628,0.6796561604584529,4891,365,194,593,failure_pressure_conservative_v2_next_4obs
gradient_boosting,all_features,42,test,4412,514,0.11650045330915684,0.7102712240670679,0.9360791626155686,0.7297439484324665,0.6194144838212635,0.7821011673151751,0.6913155631986242,3651,247,112,402,failure_pressure_conservative_v2_next_4obs
logistic_l2,firm_core,42,train,17197,1694,0.09850555329417922,0.5436108911847053,0.9200781948666523,0.5986487423770147,0.41299093655589125,0.806965761511216,0.5463629096722622,13560,1943,327,1367,failure_pressure_profit_roa_next_4obs
logistic_l2,firm_core,42,validation,6043,904,0.14959457223233494,0.5436108911847053,0.8561187053023298,0.5614472838923605,0.49335418295543393,0.6980088495575221,0.5781035272560695,4491,648,273,631,failure_pressure_profit_roa_next_4obs
logistic_l2,firm_core,42,test,4412,591,0.13395285584768812,0.5436108911847053,0.8733612580932429,0.5689050579653386,0.4793814432989691,0.7868020304568528,0.5957719410634209,3316,505,126,465,failure_pressure_profit_roa_next_4obs
random_forest,firm_core,42,train,17197,1694,0.09850555329417922,0.36142381029170173,0.9958335367317793,0.9595611971110288,0.6510376633358954,1.0,0.7886405959031657,14595,908,0,1694,failure_pressure_profit_roa_next_4obs
random_forest,firm_core,42,validation,6043,904,0.14959457223233494,0.36142381029170173,0.8874956518519665,0.5954052676717229,0.5453744493392071,0.6847345132743363,0.6071603727317312,4623,516,285,619,failure_pressure_profit_roa_next_4obs
random_forest,firm_core,42,test,4412,591,0.13395285584768812,0.36142381029170173,0.9075166138150953,0.6585357587854674,0.5626631853785901,0.7292724196277496,0.6352247605011053,3486,335,160,431,failure_pressure_profit_roa_next_4obs
gradient_boosting,firm_core,42,train,17197,1694,0.09850555329417922,0.6911399768870081,0.953489026498356,0.7262476927236455,0.5400402414486921,0.7922077922077922,0.6422589136156975,14360,1143,352,1342,failure_pressure_profit_roa_next_4obs
