path,category,size_mb,status,rows,columns,error
data/processed/legacy_xbrl/q4quarter_all/BKR/BKR_q4quarter_summary.parquet,processed_data,0.003,PASS,8,4,
data/processed/legacy_xbrl/q4quarter_all/BLK/BLK_q4quarter.parquet,processed_data,0.012,PASS,1,20,
data/processed/legacy_xbrl/q4quarter_all/BLK/BLK_q4quarter_summary.parquet,processed_data,0.003,PASS,1,4,
data/processed/legacy_xbrl/q4quarter_all/BMY/BMY_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/BMY/BMY_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BRK-B/BRK-B_q4quarter.parquet,processed_data,0.017,PASS,16,24,
data/processed/legacy_xbrl/q4quarter_all/BRK-B/BRK-B_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BSX/BSX_q4quarter.parquet,processed_data,0.018,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/BSX/BSX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/BX/BX_q4quarter.parquet,processed_data,0.014,PASS,15,21,
data/processed/legacy_xbrl/q4quarter_all/BX/BX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/C/C_q4quarter.parquet,processed_data,0.014,PASS,16,21,
data/processed/legacy_xbrl/q4quarter_all/C/C_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CARR/CARR_q4quarter.parquet,processed_data,0.016,PASS,5,26,
data/processed/legacy_xbrl/q4quarter_all/CARR/CARR_q4quarter_summary.parquet,processed_data,0.003,PASS,5,4,
data/processed/legacy_xbrl/q4quarter_all/CAT/CAT_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/CAT/CAT_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CB/CB_q4quarter.parquet,processed_data,0.013,PASS,16,19,
data/processed/legacy_xbrl/q4quarter_all/CB/CB_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CDNS/CDNS_q4quarter.parquet,processed_data,0.019,PASS,15,28,
data/processed/legacy_xbrl/q4quarter_all/CDNS/CDNS_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CDW/CDW_q4quarter.parquet,processed_data,0.019,PASS,14,28,
data/processed/legacy_xbrl/q4quarter_all/CDW/CDW_q4quarter_summary.parquet,processed_data,0.003,PASS,15,4,
data/processed/legacy_xbrl/q4quarter_all/CEG/CEG_q4quarter.parquet,processed_data,0.015,PASS,4,25,
data/processed/legacy_xbrl/q4quarter_all/CEG/CEG_q4quarter_summary.parquet,processed_data,0.003,PASS,4,4,
data/processed/legacy_xbrl/q4quarter_all/CHTR/CHTR_q4quarter.parquet,processed_data,0.017,PASS,14,25,
data/processed/legacy_xbrl/q4quarter_all/CHTR/CHTR_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CI/CI_q4quarter.parquet,processed_data,0.015,PASS,7,24,
data/processed/legacy_xbrl/q4quarter_all/CI/CI_q4quarter_summary.parquet,processed_data,0.003,PASS,7,4,
data/processed/legacy_xbrl/q4quarter_all/CL/CL_q4quarter.parquet,processed_data,0.021,PASS,16,30,
data/processed/legacy_xbrl/q4quarter_all/CL/CL_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CMCSA/CMCSA_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/CMCSA/CMCSA_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CME/CME_q4quarter.parquet,processed_data,0.017,PASS,16,25,
data/processed/legacy_xbrl/q4quarter_all/CME/CME_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CMG/CMG_q4quarter.parquet,processed_data,0.018,PASS,15,27,
data/processed/legacy_xbrl/q4quarter_all/CMG/CMG_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CMI/CMI_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/CMI/CMI_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/COF/COF_q4quarter.parquet,processed_data,0.014,PASS,15,21,
data/processed/legacy_xbrl/q4quarter_all/COF/COF_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/COP/COP_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/COP/COP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/COR/COR_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/COR/COR_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/COST/COST_q4quarter.parquet,processed_data,0.018,PASS,15,27,
data/processed/legacy_xbrl/q4quarter_all/COST/COST_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CPRT/CPRT_q4quarter.parquet,processed_data,0.019,PASS,13,29,
data/processed/legacy_xbrl/q4quarter_all/CPRT/CPRT_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CRM/CRM_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/CRM/CRM_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CRWD/CRWD_q4quarter.parquet,processed_data,0.016,PASS,6,25,
data/processed/legacy_xbrl/q4quarter_all/CRWD/CRWD_q4quarter_summary.parquet,processed_data,0.003,PASS,6,4,
data/processed/legacy_xbrl/q4quarter_all/CSCO/CSCO_q4quarter.parquet,processed_data,0.02,PASS,15,30,
data/processed/legacy_xbrl/q4quarter_all/CSCO/CSCO_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CSGP/CSGP_q4quarter.parquet,processed_data,0.019,PASS,14,28,
data/processed/legacy_xbrl/q4quarter_all/CSGP/CSGP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CSX/CSX_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/CSX/CSX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CTAS/CTAS_q4quarter.parquet,processed_data,0.019,PASS,14,28,
data/processed/legacy_xbrl/q4quarter_all/CTAS/CTAS_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CTSH/CTSH_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/CTSH/CTSH_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CVS/CVS_q4quarter.parquet,processed_data,0.02,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/CVS/CVS_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/CVX/CVX_q4quarter.parquet,processed_data,0.018,PASS,16,26,
data/processed/legacy_xbrl/q4quarter_all/CVX/CVX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/D/D_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/D/D_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/DASH/DASH_q4quarter.parquet,processed_data,0.016,PASS,5,25,
data/processed/legacy_xbrl/q4quarter_all/DASH/DASH_q4quarter_summary.parquet,processed_data,0.003,PASS,5,4,
data/processed/legacy_xbrl/q4quarter_all/DDOG/DDOG_q4quarter.parquet,processed_data,0.016,PASS,6,26,
data/processed/legacy_xbrl/q4quarter_all/DDOG/DDOG_q4quarter_summary.parquet,processed_data,0.003,PASS,6,4,
data/processed/legacy_xbrl/q4quarter_all/DE/DE_q4quarter.parquet,processed_data,0.018,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/DE/DE_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/DELL/DELL_q4quarter.parquet,processed_data,0.018,PASS,2,29,
data/processed/legacy_xbrl/q4quarter_all/DELL/DELL_q4quarter_summary.parquet,processed_data,0.003,PASS,2,4,
data/processed/legacy_xbrl/q4quarter_all/GS/GS_q4quarter.parquet,processed_data,0.013,PASS,16,19,
data/processed/legacy_xbrl/q4quarter_all/GS/GS_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/GWW/GWW_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/GWW/GWW_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/HCA/HCA_q4quarter.parquet,processed_data,0.018,PASS,14,26,
data/processed/legacy_xbrl/q4quarter_all/HCA/HCA_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/HD/HD_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/HD/HD_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/HLT/HLT_q4quarter.parquet,processed_data,0.018,PASS,11,27,
data/processed/legacy_xbrl/q4quarter_all/HLT/HLT_q4quarter_summary.parquet,processed_data,0.003,PASS,12,4,
data/processed/legacy_xbrl/q4quarter_all/HON/HON_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/HON/HON_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/HWM/HWM_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/HWM/HWM_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
