model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
random_forest_cfg3_seed202,train,11058,7029,0.48044167447415115,0.9953005738979961,0.9972363179540813,0.9713080168776371,0.9825010670081092,0.9768724803734351,3825,204,123,6906,success_resilience_next_4q,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.2
random_forest_cfg3_seed202,validation,4190,2414,0.48044167447415115,0.944009746075819,0.945911421687932,0.8753858024691358,0.93993371996686,0.906512185377547,1453,323,145,2269,success_resilience_next_4q,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.2
random_forest_cfg3_seed202,test,4046,2647,0.48044167447415115,0.9612287150976477,0.9676024486528239,0.9334579439252336,0.9433320740460899,0.93836903419767,1221,178,150,2497,success_resilience_next_4q,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.2
random_forest_cfg3_seed777,train,11058,7029,0.4929009602892991,0.99520392787516,0.9971634030412146,0.9725042301184433,0.9812206572769953,0.9768429997875504,3834,195,132,6897,success_resilience_next_4q,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.187
random_forest_cfg3_seed777,validation,4190,2414,0.4929009602892991,0.9440848522507594,0.944466910134485,0.8785992217898833,0.9353769676884839,0.9060995184590691,1464,312,156,2258,success_resilience_next_4q,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.187
random_forest_cfg3_seed777,test,4046,2647,0.4929009602892991,0.9608241949495471,0.965646038357072,0.9352059925093633,0.9433320740460899,0.939251457588866,1226,173,150,2497,success_resilience_next_4q,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,7.187
extra_trees_cfg1_seed42,train,11058,7029,0.5403636733194885,0.998466940545323,0.9991532823925247,0.9948920023350847,0.9698392374448712,0.982205892947194,3994,35,212,6817,success_resilience_next_4q,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.401
extra_trees_cfg1_seed42,validation,4190,2414,0.5403636733194885,0.9338816084103988,0.9399537563758249,0.8736220472440945,0.9192212096106048,0.8958417440452161,1455,321,195,2219,success_resilience_next_4q,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.401
extra_trees_cfg1_seed42,test,4046,2647,0.5403636733194885,0.9428308795234763,0.9590867209457609,0.9118745332337566,0.9225538345296562,0.9171830985915493,1163,236,205,2442,success_resilience_next_4q,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.401
extra_trees_cfg1_seed202,train,11058,7029,0.5155099451863165,0.998438868353816,0.9991361640986157,0.9924768518518519,0.9759567506046379,0.9841474786600675,3977,52,169,6860,success_resilience_next_4q,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.406
extra_trees_cfg1_seed202,validation,4190,2414,0.5155099451863165,0.9336357639744135,0.9378278603544045,0.8656141701963804,0.9312344656172328,0.8972261025743365,1427,349,166,2248,success_resilience_next_4q,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.406
extra_trees_cfg1_seed202,test,4046,2647,0.5155099451863165,0.9422019560088389,0.9584354271919329,0.9031903190319032,0.9304873441632037,0.9166356531447711,1135,264,184,2463,success_resilience_next_4q,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.406
extra_trees_cfg1_seed777,train,11058,7029,0.5371192236921528,0.9984659518392072,0.999150454617831,0.994752951464801,0.9709773794280837,0.9827213822894167,3993,36,204,6825,success_resilience_next_4q,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.432
extra_trees_cfg1_seed777,validation,4190,2414,0.5371192236921528,0.9313765142524463,0.9341577093514254,0.8713220870929776,0.920049710024855,0.8950231714688696,1448,328,193,2221,success_resilience_next_4q,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.432
extra_trees_cfg1_seed777,test,4046,2647,0.5371192236921528,0.9416067875132352,0.9588928703833958,0.9096362954630671,0.9165092557612391,0.9130598419269854,1158,241,221,2426,success_resilience_next_4q,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.432
extra_trees_cfg2_seed42,train,11058,7029,0.48993647819375485,0.9721509735877402,0.983887994358138,0.9112979791129798,0.9558969981505193,0.9330648521038746,3375,654,310,6719,success_resilience_next_4q,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.543
extra_trees_cfg2_seed42,validation,4190,2414,0.48993647819375485,0.9100874123916792,0.9105992481466554,0.8274596182085169,0.9337199668599834,0.8773841961852861,1306,470,160,2254,success_resilience_next_4q,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.543
extra_trees_cfg2_seed42,test,4046,2647,0.48993647819375485,0.9233615246250966,0.9447597812866009,0.8768297036772581,0.9278428409520212,0.9016152716593245,1054,345,191,2456,success_resilience_next_4q,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.543
extra_trees_cfg2_seed202,train,11058,7029,0.4951408746204353,0.9719224412312202,0.9837844474849191,0.9136425648021828,0.9527671076966852,0.9327947628664949,3396,633,332,6697,success_resilience_next_4q,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.526
extra_trees_cfg2_seed202,validation,4190,2414,0.4951408746204353,0.9116662748083626,0.9101435433973134,0.8311688311688312,0.927920463960232,0.8768839303190448,1321,455,174,2240,success_resilience_next_4q,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.526
extra_trees_cfg2_seed202,test,4046,2647,0.4951408746204353,0.925375484080728,0.9456262311278588,0.887718023255814,0.9229316207026823,0.9049824041489164,1090,309,204,2443,success_resilience_next_4q,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.526
extra_trees_cfg2_seed777,train,11058,7029,0.4990356681118256,0.9711578889161137,0.9835120621159703,0.9131208099603229,0.9494949494949495,0.9309527130701631,3394,635,355,6674,success_resilience_next_4q,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.536
extra_trees_cfg2_seed777,validation,4190,2414,0.4990356681118256,0.9112506251072946,0.9137440974014759,0.8330843913368186,0.924192212096106,0.8762765121759624,1329,447,183,2231,success_resilience_next_4q,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.536
extra_trees_cfg2_seed777,test,4046,2647,0.4990356681118256,0.9258129491274056,0.9476321592900492,0.8828633405639913,0.9225538345296562,0.9022723074080916,1075,324,205,2442,success_resilience_next_4q,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.536
