model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,scale_pos_weight,fit_seconds
xgboost_cfg3_seed202,test,4046,2647,0.47030019760131836,0.9641370475375984,0.9737180989113574,0.9403441682600382,0.9289761994710993,0.9346256176358798,1243,156,188,2459,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.907
xgboost_cfg3_seed777,train,11058,7029,0.42772015929222107,0.9775754920375437,0.9864570832743776,0.9315352697095436,0.9581732821169441,0.9446665264043762,3534,495,294,6735,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.91
xgboost_cfg3_seed777,validation,4190,2414,0.42772015929222107,0.9445993995237989,0.9455670106650427,0.8857818038597873,0.9316487158243579,0.9081364829396326,1486,290,165,2249,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.91
xgboost_cfg3_seed777,test,4046,2647,0.42772015929222107,0.9637315822489645,0.9730922085505567,0.9391866210566324,0.9335096335474121,0.9363395225464191,1239,160,176,2471,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,0.91
xgboost_cfg4_seed42,train,11058,7029,0.3523406982421875,0.9873465744387477,0.9926928101365222,0.9366466411796832,0.9759567506046379,0.9558977217306486,3565,464,169,6860,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.692
xgboost_cfg4_seed42,validation,4190,2414,0.3523406982421875,0.9457834880240639,0.9492141014973404,0.8718631178707225,0.9498757249378624,0.9091990483743061,1439,337,121,2293,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.692
xgboost_cfg4_seed42,test,4046,2647,0.3523406982421875,0.9646098878442235,0.9728083921763341,0.9321216617210683,0.949376652814507,0.9406700355605465,1216,183,134,2513,success_resilience_next_4q,xgboost,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.692
xgboost_cfg4_seed202,train,11058,7029,0.44754940271377563,0.9871709025484995,0.9925800215252185,0.9504340520862503,0.9657134727557263,0.9580128431303366,3675,354,241,6788,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.688
xgboost_cfg4_seed202,validation,4190,2414,0.44754940271377563,0.9465283686752203,0.9503745763499817,0.8879684418145957,0.9324772162386081,0.9096787229743383,1492,284,163,2251,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.688
xgboost_cfg4_seed202,test,4046,2647,0.44754940271377563,0.9652593344104334,0.9742192086148127,0.9393361312476154,0.9301095579901776,0.9347000759301444,1240,159,185,2462,success_resilience_next_4q,xgboost,202,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.688
xgboost_cfg4_seed777,train,11058,7029,0.3494367003440857,0.9872535301310483,0.9925871293359133,0.9353125425575378,0.9770948925878503,0.9557472863902032,3554,475,161,6868,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.687
xgboost_cfg4_seed777,validation,4190,2414,0.3494367003440857,0.9465719862364435,0.9497232844327519,0.8716293201671098,0.9507042253521126,0.9094511591044185,1438,338,119,2295,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.687
xgboost_cfg4_seed777,test,4046,2647,0.3494367003440857,0.9650732767455192,0.9737573979354925,0.9339058999253174,0.9448432187381942,0.9393427230046948,1222,177,146,2501,success_resilience_next_4q,xgboost,777,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 3.0, ""subsample"": 0.8}",0.5731967562953478,0.687
lightgbm_cfg1_seed42,train,11058,7029,0.3792051078578076,0.9914827558530431,0.9952417276928549,0.9532463928967814,0.977521695831555,0.9652314392076984,3692,337,158,6871,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.049
lightgbm_cfg1_seed42,validation,4190,2414,0.3792051078578076,0.943225796218754,0.9428240551049377,0.8744721689059501,0.9436619718309859,0.907750547917912,1449,327,136,2278,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.049
lightgbm_cfg1_seed42,test,4046,2647,0.3792051078578076,0.964659305192089,0.9734448288885373,0.9350844277673546,0.9414431431809596,0.9382530120481927,1226,173,155,2492,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.049
lightgbm_cfg1_seed202,train,11058,7029,0.31321992403507043,0.9915993525528619,0.995318194138209,0.940992095938948,0.9823587992602077,0.9612305978979606,3596,433,124,6905,success_resilience_next_4q,lightgbm,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.064
lightgbm_cfg1_seed202,validation,4190,2414,0.31321992403507043,0.9424551415541474,0.9425802607457319,0.8665158371040724,0.951946975973488,0.9072246348203712,1422,354,116,2298,success_resilience_next_4q,lightgbm,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.064
lightgbm_cfg1_seed202,test,4046,2647,0.31321992403507043,0.9649377165890797,0.9737517941956364,0.9304733727810651,0.9505100113335851,0.9403849747710709,1211,188,131,2516,success_resilience_next_4q,lightgbm,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.064
lightgbm_cfg1_seed777,train,11058,7029,0.38032131386032253,0.9915605105268774,0.9952890021096882,0.9534139897093589,0.9753876796130317,0.9642756680731364,3694,335,173,6856,success_resilience_next_4q,lightgbm,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.05
lightgbm_cfg1_seed777,validation,4190,2414,0.38032131386032253,0.9426338102808691,0.9414950077648626,0.8742791234140715,0.9420049710024855,0.9068793619142572,1449,327,140,2274,success_resilience_next_4q,lightgbm,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.05
lightgbm_cfg1_seed777,test,4046,2647,0.38032131386032253,0.9646206894503143,0.9726104887904589,0.936490041337843,0.9414431431809596,0.9389600602863603,1230,169,155,2492,success_resilience_next_4q,lightgbm,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""min_child_samples"": 40, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.5731967562953478,1.05
lightgbm_cfg2_seed42,train,11058,7029,0.3783672068667113,0.9989116464319132,0.9994092090708322,0.9871013465627215,0.9907525963863992,0.9889236012496451,3938,91,65,6964,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.157
lightgbm_cfg2_seed42,validation,4190,2414,0.3783672068667113,0.9416854198855026,0.943163059170368,0.8680318543799772,0.948218724109362,0.906355177192635,1428,348,125,2289,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.157
lightgbm_cfg2_seed42,test,4046,2647,0.3783672068667113,0.964560470496358,0.9719049025560316,0.9309453471196455,0.9523989421987156,0.9415499533146593,1212,187,126,2521,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.157
lightgbm_cfg2_seed202,train,11058,7029,0.3843652533530463,0.9988904245613527,0.9993979138799762,0.9868215955788578,0.9907525963863992,0.9887831889819678,3936,93,65,6964,success_resilience_next_4q,lightgbm,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.14
lightgbm_cfg2_seed202,validation,4190,2414,0.3843652533530463,0.9420595512662624,0.9438030266001498,0.8668941979522184,0.9469759734879868,0.9051672936052267,1425,351,128,2286,success_resilience_next_4q,lightgbm,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.14
lightgbm_cfg2_seed202,test,4046,2647,0.3843652533530463,0.9651253944949074,0.972856962657739,0.9306273062730628,0.9527767283717415,0.9415717752473399,1211,188,125,2522,success_resilience_next_4q,lightgbm,202,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.14
lightgbm_cfg2_seed777,train,11058,7029,0.3740099951832127,0.9989240405692956,0.9994175423715042,0.9879415519931906,0.9907525963863992,0.9893450774257707,3944,85,65,6964,success_resilience_next_4q,lightgbm,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.153
lightgbm_cfg2_seed777,validation,4190,2414,0.3740099951832127,0.941204460467095,0.9434053850682613,0.8662878787878788,0.9473902236951118,0.9050257222002375,1423,353,127,2287,success_resilience_next_4q,lightgbm,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.153
lightgbm_cfg2_seed777,test,4046,2647,0.3740099951832127,0.9655110118323493,0.9743184908316671,0.9280997798972854,0.9557990177559501,0.9417457658663688,1203,196,117,2530,success_resilience_next_4q,lightgbm,777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""min_child_samples"": 60, ""n_estimators"": 400, ""num_leaves"": 31, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5731967562953478,3.153
lightgbm_cfg3_seed42,train,11058,7029,0.37431081125943627,0.9981772496533436,0.9990308587199463,0.9840011326631742,0.9887608479157775,0.9863752483678683,3916,113,79,6950,success_resilience_next_4q,lightgbm,42,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.02, ""min_child_samples"": 80, ""n_estimators"": 600, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.75}",0.5731967562953478,4.664
