model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
random_forest_cfg3_seed42,validation,6029,834,0.33568352091336734,0.9158605742932121,0.6989614127979842,0.64501679731243,0.6906474820143885,0.6670526925303996,4878,317,258,576,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.354
random_forest_cfg3_seed42,test,5734,575,0.33568352091336734,0.9410283421964151,0.7335559168317735,0.6516516516516516,0.7547826086956522,0.6994359387590653,4927,232,141,434,failure_pressure_conservative_v2_next_4obs,random_forest,42,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.354
random_forest_cfg3_seed202,train,17145,1555,0.3007596046297602,0.9963312288980692,0.9627513268343396,0.6691176470588235,0.9948553054662379,0.8001034393586759,14825,765,8,1547,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.339
random_forest_cfg3_seed202,validation,6029,834,0.3007596046297602,0.9173405068053355,0.7034187485569701,0.6138211382113821,0.7242206235011991,0.6644664466446645,4815,380,230,604,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.339
random_forest_cfg3_seed202,test,5734,575,0.3007596046297602,0.9414500619432482,0.7336510295927393,0.5936254980079682,0.7773913043478261,0.6731927710843374,4853,306,128,447,failure_pressure_conservative_v2_next_4obs,random_forest,202,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.339
random_forest_cfg3_seed777,train,17145,1555,0.31182315944153527,0.9963877413380249,0.9628883938879064,0.6878330373001776,0.9961414790996784,0.8137641187286577,14887,703,6,1549,failure_pressure_conservative_v2_next_4obs,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.586
random_forest_cfg3_seed777,validation,6029,834,0.31182315944153527,0.9164701347680277,0.702569743502115,0.6321961620469083,0.7110311750599521,0.6693002257336343,4850,345,241,593,failure_pressure_conservative_v2_next_4obs,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.586
random_forest_cfg3_seed777,test,5734,575,0.31182315944153527,0.9433307769453131,0.7311886776519884,0.6115702479338843,0.7721739130434783,0.6825518831667946,4877,282,131,444,failure_pressure_conservative_v2_next_4obs,random_forest,777,"{""max_depth"": 14, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",False,11.586
extra_trees_cfg1_seed42,train,17145,1555,0.39802202601161646,0.9992341120637559,0.9918641024850346,0.7087511394712853,1.0,0.8295545478794345,14951,639,0,1555,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.507
extra_trees_cfg1_seed42,validation,6029,834,0.39802202601161646,0.9147660889575153,0.7051948088825705,0.6475770925110133,0.7050359712230215,0.6750861079219288,4875,320,246,588,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.507
extra_trees_cfg1_seed42,test,5734,575,0.39802202601161646,0.90863311899003,0.6544354662018095,0.6255924170616114,0.688695652173913,0.6556291390728478,4922,237,179,396,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.507
extra_trees_cfg1_seed202,train,17145,1555,0.37120136976622214,0.9993087332344709,0.9926527389661725,0.6793359545653124,1.0,0.8090530697190427,14856,734,0,1555,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.511
extra_trees_cfg1_seed202,validation,6029,834,0.37120136976622214,0.9150996046281359,0.7004011782917007,0.6224279835390947,0.7254196642685852,0.6699889258028794,4828,367,229,605,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.511
extra_trees_cfg1_seed202,test,5734,575,0.37120136976622214,0.9067658882324684,0.6522603257481286,0.5938375350140056,0.7373913043478261,0.6578743211792086,4869,290,151,424,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.511
extra_trees_cfg1_seed777,train,17145,1555,0.4139656657294144,0.9992546545419296,0.9920867835235023,0.7256182921138591,1.0,0.8409951325040562,15002,588,0,1555,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.512
extra_trees_cfg1_seed777,validation,6029,834,0.4139656657294144,0.9130645820206204,0.7018140484783731,0.6555299539170507,0.6822541966426858,0.6686251468860165,4896,299,265,569,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.512
extra_trees_cfg1_seed777,test,5734,575,0.4139656657294144,0.9087473979621937,0.6525232492564896,0.6348684210526315,0.671304347826087,0.6525781910397294,4937,222,189,386,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",False,0.512
extra_trees_cfg2_seed42,train,17145,1555,0.5310722049423795,0.9781559207093341,0.8521775998665839,0.6104294478527608,0.8958199356913183,0.726088089653375,14701,889,162,1393,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.675
extra_trees_cfg2_seed42,validation,6029,834,0.5310722049423795,0.8930903400475001,0.6735526321058792,0.6258351893095768,0.6738609112709832,0.6489607390300232,4859,336,272,562,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.675
extra_trees_cfg2_seed42,test,5734,575,0.5310722049423795,0.8861754468762905,0.6348262358631186,0.6019108280254777,0.6573913043478261,0.628428927680798,4909,250,197,378,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.675
