target,target_family,model,calibrator,split,rows,positives,positive_share,brier_score,log_loss,expected_calibration_error_10bin,roc_auc,pr_auc,mean_predicted_probability,observed_positive_rate,selected_model_by_validation_pr_auc,selected_calibrator_by_validation_brier,selection_note
success_resilience_next_4q,production,random_forest,sigmoid_validation,validation,4190,2414,0.5761336515513127,0.08175275135621352,0.27907057714734135,0.017470346420308883,0.9479558524970703,0.9521808978294828,0.5761332494757517,0.5761336515513127,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
success_resilience_next_4q,production,random_forest,sigmoid_validation,test,4046,2647,0.6542263964409293,0.061444984821364415,0.22272000323454827,0.04994832197965268,0.9661377750257686,0.9740344071186345,0.6158466612956991,0.6542263964409293,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
success_resilience_next_4q,production,random_forest,isotonic_validation,validation,4190,2414,0.5761336515513127,0.07987691023784724,0.2684220644257109,0.00419563646849303,0.9496567041357844,0.9500347085272662,0.5761336515513127,0.5761336515513127,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
success_resilience_next_4q,production,random_forest,isotonic_validation,test,4046,2647,0.6542263964409293,0.06150468535812186,0.22767792952447297,0.04434554290115635,0.9648764174745142,0.9716384388137698,0.6121455145406766,0.6542263964409293,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,uncalibrated,validation,4210,1667,0.3959619952494062,0.12405919377476117,0.39960204106538516,0.07133751721573836,0.9114899788426114,0.8724107943688318,0.41844842363802837,0.3959619952494062,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,uncalibrated,test,4098,1678,0.40946803318692043,0.13302419536861415,0.4249850149375623,0.07820797105239402,0.8974627902166099,0.8542617746379211,0.4433862904573109,0.40946803318692043,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,sigmoid_validation,validation,4210,1667,0.3959619952494062,0.1193147576606449,0.37445502652890417,0.03701963105751841,0.9114899788426114,0.8724107943688318,0.3959619578534176,0.3959619952494062,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,sigmoid_validation,test,4098,1678,0.40946803318692043,0.1267288864814362,0.3997207882591666,0.029672089350630797,0.8974627902166099,0.8542617746379211,0.4293897923949575,0.40946803318692043,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,4210,1667,0.3959619952494062,0.11558265126157174,0.35801847980011803,0.007726820847410278,0.9137584594760167,0.8665657147859211,0.3959619952494062,0.3959619952494062,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,4098,1678,0.40946803318692043,0.12656291243048842,0.4030977054991376,0.029788630162288506,0.8974361942099509,0.8440076987505615,0.42972923929853296,0.40946803318692043,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
stress_resilience_next_4obs,validated_secondary_production,random_forest,uncalibrated,validation,950,542,0.5705263157894737,0.09772210573739791,0.3361386348798054,0.07859382793808184,0.939634433109037,0.944684297410355,0.5505003700407882,0.5705263157894737,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
stress_resilience_next_4obs,validated_secondary_production,random_forest,uncalibrated,test,3028,1920,0.6340819022457067,0.0711264545823776,0.26717443001636443,0.09919764244011485,0.9673947991877255,0.9762032792978476,0.6077682785451749,0.6340819022457067,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
stress_resilience_next_4obs,validated_secondary_production,random_forest,sigmoid_validation,validation,950,542,0.5705263157894737,0.09090259894522433,0.3093933299452162,0.02926655726116736,0.939634433109037,0.944684297410355,0.5705265961751839,0.5705263157894737,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
stress_resilience_next_4obs,validated_secondary_production,random_forest,sigmoid_validation,test,3028,1920,0.6340819022457067,0.06195135982083977,0.2292268792775159,0.04427222928276878,0.9673947991877255,0.9762032792978476,0.6341975418494997,0.6340819022457067,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,950,542,0.5705263157894737,0.0862907461971701,0.2852640431390595,0.013407430932927096,0.9446132696621083,0.9430957565793281,0.5705263157894737,0.5705263157894737,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,3028,1920,0.6340819022457067,0.06132175931472501,0.23494467150764708,0.018860021573386957,0.9651008762033695,0.9692831121832898,0.6367494998193761,0.6340819022457067,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
recovery_next_4obs,validated_secondary_production,gradient_boosting,uncalibrated,validation,2557,1181,0.4618693781775518,0.09178096908369629,0.2997437900939641,0.03292482427991115,0.9481891700962922,0.9423726515698293,0.4805430709014741,0.4618693781775518,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
recovery_next_4obs,validated_secondary_production,gradient_boosting,uncalibrated,test,2419,1199,0.49565936337329475,0.06409667821166591,0.2177094382728094,0.023840074305387916,0.9729197145161952,0.9746888070626691,0.4986573684707756,0.49565936337329475,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
recovery_next_4obs,validated_secondary_production,gradient_boosting,sigmoid_validation,validation,2557,1181,0.4618693781775518,0.09413413016139112,0.3147913043256555,0.05833035909121468,0.9481891700962922,0.9423726515698293,0.4618693369637456,0.4618693781775518,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
recovery_next_4obs,validated_secondary_production,gradient_boosting,sigmoid_validation,test,2419,1199,0.49565936337329475,0.06711854313680211,0.24180177445687034,0.0541648872652996,0.9729197145161952,0.9746888070626691,0.48153437506856545,0.49565936337329475,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,validation,2557,1181,0.4618693781775518,0.08667995422303305,0.27898930851371695,0.008454845903499415,0.9506530851859876,0.9384912035514971,0.4618693781775518,0.4618693781775518,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
recovery_next_4obs,validated_secondary_production,gradient_boosting,isotonic_validation,test,2419,1199,0.49565936337329475,0.0649932219029356,0.21847370955847986,0.01943770502831185,0.9716481630867253,0.9678552176963131,0.4805195051713646,0.49565936337329475,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,uncalibrated,validation,4046,2214,0.5472071181413742,0.10106827710982404,0.3383789545825428,0.06657226993352958,0.9321240774270916,0.9288613935807248,0.5195611742398654,0.5472071181413742,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,uncalibrated,test,3998,2458,0.6148074037018509,0.0880018452477272,0.3089754927309931,0.09748614497813868,0.9466211575243308,0.9517819919705288,0.5473073265231868,0.6148074037018509,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,sigmoid_validation,validation,4046,2214,0.5472071181413742,0.09643713114429972,0.32064147758926337,0.025855411284811735,0.9321240774270916,0.9288613935807248,0.547206859731057,0.5472071181413742,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,sigmoid_validation,test,3998,2458,0.6148074037018509,0.07953666297190208,0.2750576299388899,0.045164107692324415,0.9466211575243308,0.9517819919705288,0.5841431505856919,0.6148074037018509,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
