Sector,target,rows,known_rows,missing_rows,positives,positive_share_all_rows,positive_share_known,firms
Industrials,industry_relative_resilience_next_4obs,5627,3308,2319,1469,0.26106273325039986,0.4440749697702539,103
Real Estate,industry_relative_resilience_next_4obs,1889,1743,146,675,0.35733192165166755,0.387263339070568,38
Technology,industry_relative_resilience_next_4obs,4298,3162,1136,1246,0.2899022801302932,0.39405439595192915,86
Utilities,industry_relative_resilience_next_4obs,2131,889,1242,319,0.14969497888315345,0.35883014623172105,40
Agriculture,stress_resilience_next_4obs,117,15,102,15,0.1282051282051282,1.0,3
Basic Materials,stress_resilience_next_4obs,338,78,260,75,0.22189349112426035,0.9615384615384616,6
Communication Services,stress_resilience_next_4obs,1674,249,1425,97,0.05794504181600956,0.3895582329317269,32
Consumer Cyclical,stress_resilience_next_4obs,2811,470,2341,231,0.08217716115261472,0.49148936170212765,56
Consumer Defensive,stress_resilience_next_4obs,912,171,741,122,0.1337719298245614,0.7134502923976608,16
Consumer Discretionary,stress_resilience_next_4obs,59,15,44,8,0.13559322033898305,0.5333333333333333,1
Energy,stress_resilience_next_4obs,2244,369,1875,253,0.11274509803921569,0.6856368563685636,43
Financial Services,stress_resilience_next_4obs,4150,1146,3004,450,0.10843373493975904,0.39267015706806285,73
Healthcare,stress_resilience_next_4obs,2812,424,2388,295,0.10490753911806544,0.6957547169811321,52
Industrials,stress_resilience_next_4obs,5627,952,4675,725,0.12884307801670516,0.7615546218487395,103
Real Estate,stress_resilience_next_4obs,1889,504,1385,391,0.2069878242456326,0.7757936507936508,38
Technology,stress_resilience_next_4obs,4298,960,3338,666,0.15495579339227547,0.69375,86
Utilities,stress_resilience_next_4obs,2131,250,1881,180,0.08446738620366025,0.72,40
Agriculture,recovery_next_4obs,117,58,59,55,0.4700854700854701,0.9482758620689655,3
Basic Materials,recovery_next_4obs,338,115,223,109,0.3224852071005917,0.9478260869565217,6
Communication Services,recovery_next_4obs,1674,505,1169,212,0.12664277180406214,0.4198019801980198,32
Consumer Cyclical,recovery_next_4obs,2811,894,1917,254,0.0903593027392387,0.2841163310961969,56
