prediction_year,Sector,market_health_regime,rows,firms,distress_next_4q_positive,success_resilience_next_4q_positive,market_stress_score_mean,market_health_score_mean,distress_next_4q_share,success_resilience_next_4q_share
2013,Financial Services,healthy,237,68,0,105,-0.5476775339582628,0.5476775339582628,0.0,0.4430379746835443
2013,Financial Services,neutral,38,37,0,9,-0.15126386992511764,0.15126386992511764,0.0,0.23684210526315788
2013,Healthcare,healthy,177,46,0,46,-0.5387634182024177,0.5387634182024177,0.0,0.2598870056497175
2013,Healthcare,neutral,15,15,0,1,-0.2139797847171818,0.2139797847171818,0.0,0.06666666666666667
2013,Industrials,healthy,352,94,0,159,-0.5112278442881247,0.5112278442881247,0.0,0.45170454545454547
2013,Industrials,neutral,38,37,0,14,-0.17450323887338554,0.17450323887338554,0.0,0.3684210526315789
2013,Real Estate,healthy,98,29,0,69,-0.5571593407259336,0.5571593407259336,0.0,0.7040816326530612
2013,Real Estate,neutral,20,20,0,12,-0.13807601558964566,0.13807601558964566,0.0,0.6
2013,Technology,healthy,254,66,2,130,-0.5216729599837558,0.5216729599837558,0.007874015748031496,0.5118110236220472
2013,Technology,neutral,19,19,0,10,-0.14323033472347071,0.14323033472347071,0.0,0.5263157894736842
2013,Utilities,healthy,129,37,0,37,-0.5452762700096985,0.5452762700096985,0.0,0.2868217054263566
2013,Utilities,neutral,23,22,0,8,-0.17166124087712675,0.17166124087712675,0.0,0.34782608695652173
2014,Agriculture,healthy,8,2,0,4,-0.4559656140965014,0.4559656140965014,0.0,0.5
2014,Basic Materials,healthy,20,5,0,14,-0.46911731330324075,0.46911731330324075,0.0,0.7
2014,Communication Services,healthy,118,30,0,29,-0.4642591201440221,0.4642591201440221,0.0,0.2457627118644068
2014,Communication Services,neutral,1,1,0,1,-0.285218548896874,0.285218548896874,0.0,1.0
2014,Consumer Cyclical,healthy,184,48,0,63,-0.4700360414569642,0.4700360414569642,0.0,0.3423913043478261
2014,Consumer Cyclical,neutral,9,9,0,3,-0.22260736504864034,0.22260736504864034,0.0,0.3333333333333333
2014,Consumer Defensive,healthy,53,14,0,21,-0.473325896409904,0.473325896409904,0.0,0.39622641509433965
2014,Consumer Defensive,neutral,3,2,0,3,-0.2187193804588162,0.2187193804588162,0.0,1.0
2014,Consumer Discretionary,healthy,4,1,0,4,-0.44556509826879365,0.44556509826879365,0.0,1.0
2014,Energy,healthy,165,42,6,65,-0.4601223607422572,0.4601223607422572,0.03636363636363636,0.3939393939393939
2014,Energy,neutral,3,3,0,3,-0.25589227435501605,0.25589227435501605,0.0,1.0
2014,Financial Services,healthy,267,69,0,110,-0.4675950837243473,0.4675950837243473,0.0,0.41198501872659177
2014,Financial Services,neutral,8,8,0,3,-0.24905393440276402,0.24905393440276402,0.0,0.375
2014,Healthcare,healthy,186,46,0,45,-0.47134904864448723,0.47134904864448723,0.0,0.24193548387096775
2014,Healthcare,neutral,7,7,0,3,-0.23467886404027452,0.23467886404027452,0.0,0.42857142857142855
2014,Industrials,healthy,358,94,0,146,-0.4749178004011863,0.4749178004011863,0.0,0.40782122905027934
2014,Industrials,neutral,18,18,0,7,-0.218157240227289,0.218157240227289,0.0,0.3888888888888889
2014,Real Estate,healthy,123,31,0,91,-0.4577248748801877,0.4577248748801877,0.0,0.7398373983739838
2014,Real Estate,neutral,1,1,0,1,-0.2449509304314128,0.2449509304314128,0.0,1.0
2014,Technology,healthy,258,67,3,137,-0.4631335239518922,0.4631335239518922,0.011627906976744186,0.5310077519379846
2014,Technology,neutral,7,7,0,1,-0.24637888288902626,0.24637888288902626,0.0,0.14285714285714285
