event_type,Sector,rows,firms,distress_rows,distress_share,success_resilience_share,avg_roa,avg_leverage,avg_cash_assets
financial_market,Consumer Discretionary,3,1,0,0.0,1.0,0.033531825018540067,0.6614117798872625,0.16503648127461923
financial_market,Financial Services,205,69,0,0.0,0.4271356783919598,0.008700978593464305,0.7690093542707201,0.08428181610073918
financial_market,Healthcare,135,47,0,0.0,0.5806451612903226,0.0004445902997311247,0.5184806956371117,0.17011903484155474
financial_market,Industrials,274,91,0,0.0,0.7610062893081762,0.01578069117374374,0.6449914380613149,0.09295383715417886
financial_market,Real Estate,96,32,0,0.0,0.8202247191011236,0.003979877923495944,0.5937282715702635,0.04448151381704412
financial_market,Utilities,109,36,0,0.0,0.6428571428571429,0.0012365017836576528,0.6527743311582155,0.03220022355451078
geopolitical_war,Consumer Cyclical,532,50,37,0.06954887218045112,0.4938650306748466,-0.0026202571603658083,0.8128178572149801,0.11545198122635567
geopolitical_war,Real Estate,387,35,10,0.025839793281653745,0.7988505747126436,0.00787497397984984,0.5470956791522512,0.0743184778895063
geopolitical_war,Healthcare,546,52,14,0.02564102564102564,0.7446153846153846,0.04000021376454711,0.5670805056511186,0.13397661530774757
geopolitical_war,ALL,5584,512,96,0.017191977077363897,0.6523772408417771,0.015326249309926173,0.7186730863566794,0.09362732104366839
geopolitical_war,Utilities,380,36,5,0.013157894736842105,0.696969696969697,0.006123152351406201,0.7183604132689524,0.021697289692162995
geopolitical_war,Financial Services,790,72,9,0.01139240506329114,0.4217687074829932,0.008114422708931862,0.8142227800017044,0.07314332840111509
geopolitical_war,Technology,929,84,10,0.010764262648008612,0.6735253772290809,0.021829487260180157,0.6170452755971116,0.131242086307262
geopolitical_war,Industrials,1063,98,11,0.010348071495766699,0.7807570977917981,0.017329181080951814,0.6830452141418107,0.0999255894554214
geopolitical_war,Agriculture,22,2,0,0.0,1.0,0.005811725142138222,0.4052151491361932,0.03197996317688418
geopolitical_war,Basic Materials,69,6,0,0.0,1.0,0.016642781944372072,0.5212021759430212,0.0618867237762127
geopolitical_war,Communication Services,310,29,0,0.0,0.3532934131736527,0.00840436834794768,0.7318094437171389,0.07991598505652299
geopolitical_war,Consumer Defensive,179,16,0,0.0,0.7107438016528925,0.02466382555748122,0.7527145806732866,0.06978327170888372
geopolitical_war,Consumer Discretionary,11,1,0,0.0,0.6363636363636364,0.014954645039947227,0.8432523338650726,0.13122357517761138
geopolitical_war,Energy,366,33,0,0.0,0.9041095890410958,0.01665335110688182,1.2209043529775478,0.05782145644177332
monetary_inflation,Consumer Cyclical,271,50,29,0.1070110701107011,0.41317365269461076,-0.006099488204248002,0.7968327175168274,0.11095385699069996
monetary_inflation,Real Estate,179,35,7,0.03910614525139665,0.7682926829268293,0.007649010656071,0.5504459419788315,0.07315491193528377
monetary_inflation,Healthcare,261,52,9,0.034482758620689655,0.7133333333333334,-0.01204438791985503,0.6084850829542684,0.15188067296976954
monetary_inflation,ALL,2628,509,61,0.023211567732115676,0.6217702034084662,0.008762315494740323,0.7769436551166841,0.09627437492741366
monetary_inflation,Financial Services,363,71,7,0.01928374655647383,0.3816568047337278,0.007431793752163218,0.8232943395483777,0.07623388517018691
monetary_inflation,Industrials,511,98,6,0.011741682974559686,0.7774193548387097,0.016079956032899245,0.6866630310783749,0.09665017785247312
monetary_inflation,Technology,422,82,3,0.0071090047393364926,0.6190476190476191,0.01878390124567324,0.6311322873339638,0.13545832423988058
monetary_inflation,Agriculture,10,2,0,0.0,1.0,0.008059718078963728,0.429598756367657,0.03068565002979745
monetary_inflation,Basic Materials,32,6,0,0.0,1.0,0.01531393308591961,0.5197957140591308,0.06954775266762817
monetary_inflation,Communication Services,146,29,0,0.0,0.375,0.010693214889770876,0.7204201774750064,0.08299545173025091
monetary_inflation,Consumer Defensive,80,16,0,0.0,0.7169811320754716,0.022163966240693927,0.7614282672443464,0.06412296848984492
monetary_inflation,Consumer Discretionary,5,1,0,0.0,0.2,0.01071844959786202,0.8609621977801443,0.13407852517074664
monetary_inflation,Energy,174,33,0,0.0,0.908256880733945,0.014319037440006144,2.0613547105049466,0.06321657305887199
monetary_inflation,Utilities,174,35,0,0.0,0.6842105263157895,0.006753963834700044,0.6957091742930495,0.024320482582685286
natural_disaster,Industrials,273,93,6,0.02197802197802198,0.7935483870967742,0.017908438715907176,0.6067319556719727,0.10613653333721225
natural_disaster,ALL,1363,464,6,0.004402054292002935,0.6627358490566038,0.013075867212311692,0.6087410097013931,0.1057215182011572
natural_disaster,Agriculture,5,2,0,0.0,1.0,0.01048604404541436,0.30719777140865917,0.012579553755411121
natural_disaster,Basic Materials,15,5,0,0.0,1.0,0.028028047910037292,0.47496149424082545,0.06334177381942122
natural_disaster,Communication Services,78,27,0,0.0,0.45454545454545453,0.011463291343787646,0.6782400356737707,0.09999772907335014
natural_disaster,Consumer Cyclical,143,47,0,0.0,0.631578947368421,0.019026013969454834,0.5552783749914659,0.11220677275882089
natural_disaster,Consumer Defensive,48,14,0,0.0,0.7777777777777778,0.02568308631740608,0.6996790622129458,0.07772268400579209
natural_disaster,Consumer Discretionary,3,1,0,0.0,1.0,0.05929703632672614,0.36065818949305317,0.16759415987139678
natural_disaster,Energy,111,38,0,0.0,0.5645161290322581,0.012159758027347204,0.497079607050141,0.06292092373592056
natural_disaster,Financial Services,194,66,0,0.0,0.4308510638297872,0.008548725644170458,0.7672129418936581,0.07962749225688376
natural_disaster,Healthcare,122,44,0,0.0,0.6274509803921569,-0.015574499454785168,0.5250159877277059,0.16596388698824513
natural_disaster,Real Estate,81,29,0,0.0,0.821917808219178,0.010135085647381888,0.5877395402218599,0.06507120050953892
natural_disaster,Technology,185,62,0,0.0,0.7698412698412699,0.02421586373553037,0.4860772816924855,0.17955865505153765
