target,target_family,model,calibrator,split,threshold_type,threshold_label,threshold,rows,positives,selected_rows,selected_share,precision,recall,f1,base_rate,lift_vs_base_rate
success_resilience_next_4q,production,random_forest,isotonic_validation,validation,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.5055555555555555,4190,2414,2598,0.6200477326968974,0.8783679753656659,0.9453189726594863,0.9106145251396648,0.5761336515513127,1.5245906448973239
success_resilience_next_4q,production,random_forest,isotonic_validation,test,top_rank_share,top_1pct,0.9807692307692307,4046,2647,41,0.01,0.975609756097561,0.01511144692104269,0.02976190476190476,0.6542263964409293,1.4912418107936274
success_resilience_next_4q,production,random_forest,isotonic_validation,test,top_rank_share,top_5pct,0.9714285714285714,4046,2647,203,0.05,0.9802955665024631,0.07517944843218738,0.13964912280701755,0.6542263964409293,1.4984041790967004
success_resilience_next_4q,production,random_forest,isotonic_validation,test,top_rank_share,top_10pct,0.9627659574468085,4046,2647,405,0.1,0.9851851851851852,0.15073668303740084,0.2614678899082569,0.6542263964409293,1.505878073010676
success_resilience_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.10,0.1,4046,2647,2968,0.7335640138408305,0.8827493261455526,0.9897997733282962,0.9332146037399821,0.6542263964409293,1.349302521188102
success_resilience_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.25,0.25,4046,2647,2865,0.7081067721206129,0.9047120418848168,0.9792217604835664,0.9404934687953557,0.6542263964409293,1.3828730341767923
success_resilience_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.50,0.5,4046,2647,2710,0.6697973306969847,0.9313653136531366,0.9535323007177937,0.9423184618256487,0.6542263964409293,1.42361316926354
success_resilience_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.75,0.75,4046,2647,2359,0.583044982698962,0.9588808817295464,0.8545523233849641,0.9037155413503796,0.6542263964409293,1.465671343965903
success_resilience_next_4q,production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.90,0.9,4046,2647,1868,0.4616905585763717,0.9785867237687366,0.6905931242916509,0.8097452934662237,0.6542263964409293,1.4957921739207813
success_resilience_next_4q,production,random_forest,isotonic_validation,test,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.3242456177432777,4046,2647,2774,0.6856154226396441,0.9224945926459985,0.9667548167737061,0.9441062534587714,0.6542263964409293,1.4100540694543673
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_1pct,1.0,4210,1667,43,0.01,1.0,0.02579484103179364,0.05029239766081871,0.3959619952494062,2.5254949010197962
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_5pct,0.9710144927536232,4210,1667,211,0.05,1.0,0.1265746850629874,0.22470713525026625,0.3959619952494062,2.5254949010197962
