target,prediction_year,Sector,rows,known_rows,positives,positive_share_known
persistent_resilience_next_6obs,2012,Technology,256,178,139,0.7808988764044944
persistent_resilience_next_6obs,2012,Utilities,145,59,35,0.5932203389830508
persistent_resilience_next_6obs,2013,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2013,Basic Materials,20,16,13,0.8125
persistent_resilience_next_6obs,2013,Communication Services,117,53,25,0.4716981132075472
persistent_resilience_next_6obs,2013,Consumer Cyclical,190,106,74,0.6981132075471698
persistent_resilience_next_6obs,2013,Consumer Defensive,57,34,24,0.7058823529411765
persistent_resilience_next_6obs,2013,Consumer Discretionary,4,4,4,1.0
persistent_resilience_next_6obs,2013,Energy,166,100,72,0.72
persistent_resilience_next_6obs,2013,Financial Services,275,263,111,0.4220532319391635
persistent_resilience_next_6obs,2013,Healthcare,191,88,44,0.5
persistent_resilience_next_6obs,2013,Industrials,390,220,151,0.6863636363636364
persistent_resilience_next_6obs,2013,Real Estate,118,110,88,0.8
persistent_resilience_next_6obs,2013,Technology,273,187,145,0.7754010695187166
persistent_resilience_next_6obs,2013,Utilities,148,57,41,0.7192982456140351
persistent_resilience_next_6obs,2014,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2014,Basic Materials,20,16,12,0.75
persistent_resilience_next_6obs,2014,Communication Services,119,56,28,0.5
persistent_resilience_next_6obs,2014,Consumer Cyclical,193,110,68,0.6181818181818182
persistent_resilience_next_6obs,2014,Consumer Defensive,56,36,24,0.6666666666666666
persistent_resilience_next_6obs,2014,Consumer Discretionary,4,4,4,1.0
persistent_resilience_next_6obs,2014,Energy,168,107,43,0.40186915887850466
persistent_resilience_next_6obs,2014,Financial Services,274,262,105,0.40076335877862596
persistent_resilience_next_6obs,2014,Healthcare,193,93,36,0.3870967741935484
persistent_resilience_next_6obs,2014,Industrials,376,210,148,0.7047619047619048
persistent_resilience_next_6obs,2014,Real Estate,124,116,86,0.7413793103448276
persistent_resilience_next_6obs,2014,Technology,265,189,138,0.7301587301587301
persistent_resilience_next_6obs,2014,Utilities,145,54,30,0.5555555555555556
persistent_resilience_next_6obs,2015,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2015,Basic Materials,20,16,9,0.5625
persistent_resilience_next_6obs,2015,Communication Services,117,60,28,0.4666666666666667
persistent_resilience_next_6obs,2015,Consumer Cyclical,197,117,62,0.5299145299145299
persistent_resilience_next_6obs,2015,Consumer Defensive,59,39,27,0.6923076923076923
persistent_resilience_next_6obs,2015,Consumer Discretionary,4,4,4,1.0
persistent_resilience_next_6obs,2015,Energy,172,105,18,0.17142857142857143
persistent_resilience_next_6obs,2015,Financial Services,280,268,104,0.3880597014925373
persistent_resilience_next_6obs,2015,Healthcare,189,89,42,0.47191011235955055
persistent_resilience_next_6obs,2015,Industrials,377,213,152,0.7136150234741784
