target,model,feature_group,importance,importance_share
recovery_next_4obs,logistic_l2,financial_quality_cashflow,3.411371785253365,0.05538357290037192
recovery_next_4obs,logistic_l2,financial_ratio,6.194370768423448,0.10056552220661374
recovery_next_4obs,logistic_l2,firm_trend,5.200334348382498,0.08442735492360275
recovery_next_4obs,logistic_l2,global_event_context,1.1239295917992045,0.018246981097568452
recovery_next_4obs,logistic_l2,industry_sector,8.662535575778522,0.14063614310146577
recovery_next_4obs,logistic_l2,macro_conditions,6.7019979431164245,0.10880684224019967
recovery_next_4obs,logistic_l2,market_health_v2,0.7826091656107407,0.012705648784300576
recovery_next_4obs,logistic_l2,missingness_indicator,15.232372001661163,0.24729734497025183
recovery_next_4obs,random_forest,accounting_fundamental,0.18784451165050212,0.18784451165050212
recovery_next_4obs,random_forest,financial_quality_cashflow,0.047793513122472764,0.047793513122472764
recovery_next_4obs,random_forest,financial_ratio,0.39260298437445956,0.39260298437445956
recovery_next_4obs,random_forest,firm_trend,0.24354773938839547,0.24354773938839547
recovery_next_4obs,random_forest,global_event_context,0.002370006595675734,0.002370006595675734
recovery_next_4obs,random_forest,industry_sector,0.018791213834162195,0.018791213834162195
recovery_next_4obs,random_forest,macro_conditions,0.05306946181632505,0.05306946181632505
recovery_next_4obs,random_forest,market_health_v2,0.0021490062759806365,0.0021490062759806365
recovery_next_4obs,random_forest,missingness_indicator,0.05183156294202639,0.05183156294202639
recovery_next_4obs,gradient_boosting,accounting_fundamental,0.14867895039564225,0.14867895039564225
recovery_next_4obs,gradient_boosting,financial_quality_cashflow,0.008656554674957734,0.008656554674957734
recovery_next_4obs,gradient_boosting,financial_ratio,0.7105910838741403,0.7105910838741403
recovery_next_4obs,gradient_boosting,firm_trend,0.11235260768061073,0.11235260768061073
recovery_next_4obs,gradient_boosting,global_event_context,0.0001610045748021619,0.0001610045748021619
recovery_next_4obs,gradient_boosting,industry_sector,0.006228426387639858,0.006228426387639858
recovery_next_4obs,gradient_boosting,macro_conditions,0.009391029862953574,0.009391029862953574
recovery_next_4obs,gradient_boosting,market_health_v2,0.0,0.0
recovery_next_4obs,gradient_boosting,missingness_indicator,0.003940342549253444,0.003940342549253444
deterioration_next_4obs,logistic_l2,accounting_fundamental,4.907287799867795,0.11611693513598116
deterioration_next_4obs,logistic_l2,financial_quality_cashflow,0.9367080477231217,0.02216451776513852
deterioration_next_4obs,logistic_l2,financial_ratio,1.2743861816143207,0.030154705332890275
deterioration_next_4obs,logistic_l2,firm_trend,2.010089215607983,0.047563014150622154
deterioration_next_4obs,logistic_l2,global_event_context,1.1798525223976313,0.027917836572976296
deterioration_next_4obs,logistic_l2,industry_sector,6.989789994963759,0.16539339540697057
deterioration_next_4obs,logistic_l2,macro_conditions,7.7125099574924425,0.18249449695896894
deterioration_next_4obs,logistic_l2,market_health_v2,2.2297832560787607,0.052761445481222774
deterioration_next_4obs,logistic_l2,missingness_indicator,15.021195900019148,0.35543365319522924
deterioration_next_4obs,random_forest,accounting_fundamental,0.2687326875282459,0.2687326875282459
deterioration_next_4obs,random_forest,financial_quality_cashflow,0.07940679009510683,0.07940679009510683
deterioration_next_4obs,random_forest,financial_ratio,0.14402783539981587,0.14402783539981587
deterioration_next_4obs,random_forest,firm_trend,0.23849402620582966,0.23849402620582966
deterioration_next_4obs,random_forest,global_event_context,0.008055765610869327,0.008055765610869327
deterioration_next_4obs,random_forest,industry_sector,0.02425750127991603,0.02425750127991603
deterioration_next_4obs,random_forest,macro_conditions,0.18433232233660826,0.18433232233660826
deterioration_next_4obs,random_forest,market_health_v2,0.008206463012714698,0.008206463012714698
deterioration_next_4obs,random_forest,missingness_indicator,0.04448660853089348,0.04448660853089348
deterioration_next_4obs,gradient_boosting,accounting_fundamental,0.456077470743442,0.45607747074344207
deterioration_next_4obs,gradient_boosting,financial_quality_cashflow,0.07023911485465924,0.07023911485465925
deterioration_next_4obs,gradient_boosting,financial_ratio,0.14719042927547843,0.14719042927547846
deterioration_next_4obs,gradient_boosting,firm_trend,0.15817579464224768,0.1581757946422477
deterioration_next_4obs,gradient_boosting,global_event_context,0.006897139981580689,0.00689713998158069
deterioration_next_4obs,gradient_boosting,industry_sector,0.07626726387345878,0.0762672638734588
deterioration_next_4obs,gradient_boosting,macro_conditions,0.07896621604930318,0.07896621604930319
deterioration_next_4obs,gradient_boosting,market_health_v2,0.0,0.0
deterioration_next_4obs,gradient_boosting,missingness_indicator,0.006186570579829943,0.006186570579829944
quality_success_cashflow_next_4obs,logistic_l2,accounting_fundamental,7.122199915250782,0.13518948459115274
quality_success_cashflow_next_4obs,logistic_l2,financial_quality_cashflow,2.3534200207326053,0.044671259360197016
quality_success_cashflow_next_4obs,logistic_l2,financial_ratio,10.7513669486613,0.20407623679974965
quality_success_cashflow_next_4obs,logistic_l2,firm_trend,5.620939485262444,0.1066934263251346
quality_success_cashflow_next_4obs,logistic_l2,global_event_context,0.7887535917792065,0.014971665048845624
quality_success_cashflow_next_4obs,logistic_l2,industry_sector,5.560675971257065,0.10554953911402251
quality_success_cashflow_next_4obs,logistic_l2,macro_conditions,6.631738299194912,0.12587982551455795
quality_success_cashflow_next_4obs,logistic_l2,market_health_v2,0.496691545583404,0.009427912000113954
