target,model,split,rows,positives,positive_share,threshold_from_validation,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,skip_reason
quality_success_cashflow_next_4obs,random_forest,test,3998,2458,0.6148074037018509,0.47625093378098204,0.9466211575243308,0.9517819919705288,0.9055555555555556,0.9283970707892596,0.9168340699075934,1302,238,176,2282,
quality_success_cashflow_next_4obs,gradient_boosting,train,8105,4787,0.5906230721776681,0.3030781771031363,0.9628866947137951,0.9707202873538616,0.8613531047265987,0.9707541257572593,0.9127872716558633,2570,748,140,4647,
quality_success_cashflow_next_4obs,gradient_boosting,validation,4046,2214,0.5472071181413742,0.3030781771031363,0.9266756705048854,0.9213558739736534,0.8404170008019246,0.9467028003613369,0.8903993203058622,1434,398,118,2096,
quality_success_cashflow_next_4obs,gradient_boosting,test,3998,2458,0.6148074037018509,0.3030781771031363,0.9461921317088119,0.9544963737033773,0.8932370820668692,0.9564686737184703,0.9237721021611002,1259,281,107,2351,
sector_relative_improvement_next_4obs,logistic_l2,train,7210,2364,0.327877947295423,0.47403976396549513,0.7754005257008938,0.5972519985902963,0.5125884016973126,0.766497461928934,0.6143414137989489,3123,1723,552,1812,
sector_relative_improvement_next_4obs,logistic_l2,validation,2538,866,0.3412135539795114,0.47403976396549513,0.6414653248173973,0.44536940362358163,0.4193363844393593,0.8464203233256351,0.5608263198163734,657,1015,133,733,
sector_relative_improvement_next_4obs,logistic_l2,test,2318,709,0.3058671268334771,0.47403976396549513,0.7466384871417038,0.5440863206326875,0.3118899733806566,0.9915373765867419,0.4745190685116436,58,1551,6,703,
sector_relative_improvement_next_4obs,random_forest,train,7210,2364,0.327877947295423,0.3582032545259358,0.9971163441441403,0.994125615144745,0.7540721814116895,0.998730964467005,0.8593266606005459,4076,770,3,2361,
sector_relative_improvement_next_4obs,random_forest,validation,2538,866,0.3412135539795114,0.3582032545259358,0.778443622440523,0.6594440261834273,0.49525101763907736,0.8429561200923787,0.6239316239316239,928,744,136,730,
sector_relative_improvement_next_4obs,random_forest,test,2318,709,0.3058671268334771,0.3582032545259358,0.8222253000356773,0.6581905819135214,0.46441409058231486,0.9111424541607899,0.6152380952380951,864,745,63,646,
sector_relative_improvement_next_4obs,gradient_boosting,train,7210,2364,0.327877947295423,0.40762944458137,0.8633748122372107,0.7567814737784577,0.5438686505900462,0.8967851099830795,0.6770999680613223,3068,1778,244,2120,
sector_relative_improvement_next_4obs,gradient_boosting,validation,2538,866,0.3412135539795114,0.40762944458137,0.7699675127352288,0.627253127835574,0.5223880597014925,0.7678983833718245,0.6217858812529219,1064,608,201,665,
sector_relative_improvement_next_4obs,gradient_boosting,test,2318,709,0.3058671268334771,0.40762944458137,0.8121221338714442,0.6493478097959655,0.48204309656823624,0.8519040902679831,0.6156982670744139,960,649,105,604,
persistent_resilience_next_6obs,logistic_l2,train,11083,6741,0.608228818911847,0.13986231658279913,0.9276301048924027,0.9453223266818582,0.7825725154541132,0.9765613410473224,0.8688708506566357,2513,1829,158,6583,
persistent_resilience_next_6obs,logistic_l2,validation,4191,2216,0.528752087807206,0.13986231658279913,0.8572748252067813,0.8298509334767459,0.7427007299270073,0.9183212996389891,0.821226795803067,1270,705,181,2035,
persistent_resilience_next_6obs,logistic_l2,test,4027,2461,0.6111249068785697,0.13986231658279913,0.8107560965104156,0.8274001382785137,0.8354591836734694,0.26615197074360014,0.4036979969183359,1437,129,1806,655,
