ticker,shortname,Sector,Industry,Fulltimeemployees,Weight
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,108000.0,0.0071207270389399
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,61432.0,0.0025291591143195
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,61120.0,0.0014988088019894
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,2574.0,0.0017216272488319
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,3892.0,0.0033012985229311
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,82700.0,0.0034748504787919
PNC,"PNC Financial Services Group, I",Financial Services,Banks - Regional,53749.0,0.0013760418389788
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,40366.0,0.0007545419277473
PSA,Public Storage,Real Estate,REIT - Industrial,6200.0,0.000937649701054
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,14000.0,0.0008200705228894
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,52500.0,0.0008721671635488
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,27200.0,0.0015715605610715
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,49000.0,0.003056010434153
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,98100.0,0.0011533816093309
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,14165.0,0.001387599579251
ROP,"Roper Technologies, Inc.",Technology,Software - Application,16800.0,0.0010135940281477
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,108000.0,0.0008853304362004
RSG,"Republic Services, Inc.",Industrials,Waste Management,41000.0,0.0011478148990938
RTX,RTX Corporation,Industrials,Aerospace & Defense,185000.0,0.0027893156400089
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,,0.0017944556478219
SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,32100.0,0.0024473320110606
SHW,Sherwin-Williams Company (The),Basic Materials,Specialty Chemicals,64088.0,0.0015653776364975
SLB,Schlumberger N.V.,Energy,Oil & Gas Equipment & Services,111000.0,0.0009357164593759
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,20300.0,0.0013687790286249
SO,Southern Company (The),Utilities,Utilities - Regulated Electric,27819.0,0.0016333917228083
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,2500.0,0.001159265711956
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,40450.0,0.0027456223441796
SRE,DBA Sempra,Utilities,Utilities - Diversified,16835.0,0.0009892562147636
SYK,Stryker Corporation,Healthcare,Medical Devices,52000.0,0.0025006302033538
T,AT&T Inc.,Communication Services,Telecom Services,143630.0,0.0029368551268046
TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,16600.0,0.0012910248943203
TEAM,Atlassian Corporation,Technology,Software - Application,12157.0,
TEL,TE Connectivity plc,Technology,Electronic Components,87000.0,0.0007732753741703
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,37867.0,0.0010346446527107
TGT,Target Corporation,Consumer Defensive,Discount Stores,415000.0,0.001083896552633
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,349000.0,0.0024674573561195
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,122000.0,0.0036063330205653
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,67000.0,0.0045997825436772
