ticker,company,candidate_role,universe_group,priority,event_year,event_type,Sector,Industry,Fulltimeemployees,Weight,notes
CPRT,"Copart, Inc.",core,legacy_large_cap_core,keep,,,Industrials,Specialty Business Services,13086.0,0.0010092487664436,Original defended-thesis large-cap universe.
CRM,"Salesforce, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Application,72682.0,0.0059168420147283,Original defended-thesis large-cap universe.
CRWD,"CrowdStrike Holdings, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Infrastructure,9219.0,0.0016054688566531,Original defended-thesis large-cap universe.
CSCO,"Cisco Systems, Inc.",core,legacy_large_cap_core,keep,,,Technology,Communication Equipment,90400.0,0.004193244088571,Original defended-thesis large-cap universe.
CSGP,"CoStar Group, Inc.",core,legacy_large_cap_core,keep,,,Real Estate,Real Estate Services,6450.0,0.0005269199272896,Original defended-thesis large-cap universe.
CSX,CSX Corporation,core,legacy_large_cap_core,keep,,,Industrials,Railroads,23400.0,0.0011050266174083,Original defended-thesis large-cap universe.
CTAS,Cintas Corporation,core,legacy_large_cap_core,keep,,,Industrials,Specialty Business Services,46500.0,0.0013570728722232,Original defended-thesis large-cap universe.
CTSH,Cognizant Technology Solutions ,core,legacy_large_cap_core,keep,,,Technology,Information Technology Services,340100.0,0.0007067713151228,Original defended-thesis large-cap universe.
CVS,CVS Health Corporation,core,legacy_large_cap_core,keep,,,Healthcare,Healthcare Plans,219000.0,0.0010043276000465,Original defended-thesis large-cap universe.
CVX,Chevron Corporation,core,legacy_large_cap_core,keep,,,Energy,Oil & Gas Integrated,45600.0,0.004582197222029,Original defended-thesis large-cap universe.
D,"Dominion Energy, Inc.",core,legacy_large_cap_core,keep,,,Utilities,Utilities - Regulated Electric,17700.0,0.0008109550901453,Original defended-thesis large-cap universe.
DASH,DoorDash Inc.,core,legacy_large_cap_core,keep,,,Technology,Internet Retail,23700.0,,Original defended-thesis large-cap universe.
DDOG,Datadog Inc.,core,legacy_large_cap_core,keep,,,Technology,Software - Application,4800.0,,Original defended-thesis large-cap universe.
DE,Deere & Company,core,legacy_large_cap_core,keep,,,Industrials,Farm & Heavy Construction Machinery,83000.0,0.0021131364706045,Original defended-thesis large-cap universe.
DELL,Dell Technologies Inc.,core,legacy_large_cap_core,keep,,,Technology,Computer Hardware,120000.0,0.0014589501544775,Original defended-thesis large-cap universe.
DFS,Discover Financial Services,core,legacy_large_cap_core,keep,,,Financial Services,Credit Services,21100.0,0.0007821815210119,Original defended-thesis large-cap universe.
DHI,"D.R. Horton, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Residential Construction,,0.000805845566436,Original defended-thesis large-cap universe.
DHR,Danaher Corporation,core,legacy_large_cap_core,keep,,,Healthcare,Diagnostics & Research,61000.0,0.0029699252470853,Original defended-thesis large-cap universe.
DIS,Walt Disney Company (The),core,legacy_large_cap_core,keep,,,Communication Services,Entertainment,173250.0,0.0036500608043532,Original defended-thesis large-cap universe.
DLR,"Digital Realty Trust, Inc.",core,legacy_large_cap_core,keep,,,Real Estate,REIT - Specialty,3664.0,0.0010862428391996,Original defended-thesis large-cap universe.
DUK,Duke Energy Corporation (Holdin,core,legacy_large_cap_core,keep,,,Utilities,Utilities - Regulated Electric,27037.0,0.0015048676288662,Original defended-thesis large-cap universe.
DXCM,"DexCom, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Medical Devices,9500.0,0.0005624649270593,Original defended-thesis large-cap universe.
EA,Electronic Arts Inc.,core,legacy_large_cap_core,keep,,,Communication Services,Electronic Gaming & Multimedia,13700.0,0.0006974124769787,Original defended-thesis large-cap universe.
ECL,Ecolab Inc.,core,legacy_large_cap_core,keep,,,Basic Materials,Specialty Chemicals,48000.0,0.0012139545501174,Original defended-thesis large-cap universe.
ELV,"Elevance Health, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Healthcare Plans,104900.0,0.0015270003499757,Original defended-thesis large-cap universe.
EMR,Emerson Electric Company,core,legacy_large_cap_core,keep,,,Industrials,Specialty Industrial Machinery,73000.0,0.0012714983722344,Original defended-thesis large-cap universe.
EOG,"EOG Resources, Inc.",core,legacy_large_cap_core,keep,,,Energy,Oil & Gas E&P,3050.0,0.0012045879742903,Original defended-thesis large-cap universe.
EQIX,"Equinix, Inc.",core,legacy_large_cap_core,keep,,,Real Estate,REIT - Specialty,13151.0,0.001609602547996,Original defended-thesis large-cap universe.
ETN,"Eaton Corporation, PLC",core,legacy_large_cap_core,keep,,,Industrials,Specialty Industrial Machinery,94000.0,0.002404083079313,Original defended-thesis large-cap universe.
EW,Edwards Lifesciences Corporatio,core,legacy_large_cap_core,keep,,,Healthcare,Medical Devices,19800.0,0.0007938273971783,Original defended-thesis large-cap universe.
EXC,Exelon Corporation,core,legacy_large_cap_core,keep,,,Utilities,Utilities - Regulated Electric,19962.0,0.0006692535746455,Original defended-thesis large-cap universe.
FANG,"Diamondback Energy, Inc.",core,legacy_large_cap_core,keep,,,Energy,Oil & Gas E&P,1023.0,0.0008139387407156,Original defended-thesis large-cap universe.
FAST,Fastenal Company,core,legacy_large_cap_core,keep,,,Industrials,Industrial Distribution,20894.0,0.0007711655659351,Original defended-thesis large-cap universe.
FCX,"Freeport-McMoRan, Inc.",core,legacy_large_cap_core,keep,,,Basic Materials,Copper,27200.0,0.0010046160313924,Original defended-thesis large-cap universe.
FDX,FedEx Corporation,core,legacy_large_cap_core,keep,,,Industrials,Integrated Freight & Logistics,306000.0,0.0011947972260496,Original defended-thesis large-cap universe.
FI,"Fiserv, Inc.",core,legacy_large_cap_core,keep,,,Technology,Information Technology Services,42000.0,0.0021090396253712,Original defended-thesis large-cap universe.
FICO,Fair Isaac Corporation,core,legacy_large_cap_core,keep,,,Technology,Software - Application,3586.0,0.0009159527220365,Original defended-thesis large-cap universe.
FIS,Fidelity National Information S,core,legacy_large_cap_core,keep,,,Technology,Information Technology Services,60000.0,0.000788994587752,Original defended-thesis large-cap universe.
FTNT,"Fortinet, Inc.",core,legacy_large_cap_core,keep,,,Technology,Software - Infrastructure,13986.0,0.0013401975014147,Original defended-thesis large-cap universe.
GD,General Dynamics Corporation,core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,100000.0,0.001304237614451,Original defended-thesis large-cap universe.
GE,GE Aerospace,core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,125000.0,0.0032784613042062,Original defended-thesis large-cap universe.
GEHC,GE HealthCare Technologies Inc.,core,legacy_large_cap_core,keep,,,Healthcare,Health Information Services,51000.0,0.000648618353122,Original defended-thesis large-cap universe.
GEV,GE Vernova Inc.,core,legacy_large_cap_core,keep,,,Utilities,Utilities - Renewable,80000.0,0.0016993695457186,Original defended-thesis large-cap universe.
GFS,GlobalFoundries,core,legacy_large_cap_core,keep,,,Technology,Semiconductor Manufacturing,42786.0,,Original defended-thesis large-cap universe.
GILD,"Gilead Sciences, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,18000.0,0.0020756019283012,Original defended-thesis large-cap universe.
GM,General Motors Company,core,legacy_large_cap_core,keep,,,Consumer Cyclical,Auto Manufacturers,163000.0,0.0010249673167954,Original defended-thesis large-cap universe.
GOOG,Alphabet Inc.,core,legacy_large_cap_core,keep,,,Communication Services,Internet Content & Information,181269.0,0.0423086720892176,Original defended-thesis large-cap universe.
GOOGL,Alphabet Inc.,core,legacy_large_cap_core,keep,,,Communication Services,Internet Content & Information,181269.0,0.0423087098196338,Original defended-thesis large-cap universe.
GS,"Goldman Sachs Group, Inc. (The)",core,legacy_large_cap_core,keep,,,Financial Services,Capital Markets,46400.0,0.0031971277914314,Original defended-thesis large-cap universe.
GWW,"W.W. Grainger, Inc.",core,legacy_large_cap_core,keep,,,Industrials,Industrial Distribution,23200.0,0.0009576276616746,Original defended-thesis large-cap universe.
HCA,"HCA Healthcare, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Medical Care Facilities,220000.0,0.0013836367064722,Original defended-thesis large-cap universe.
HD,"Home Depot, Inc. (The)",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Home Improvement Retail,465000.0,0.0070164908687495,Original defended-thesis large-cap universe.
HLT,Hilton Worldwide Holdings Inc.,core,legacy_large_cap_core,keep,,,Consumer Cyclical,Lodging,178000.0,0.0010939338013469,Original defended-thesis large-cap universe.
HON,Honeywell International Inc.,core,legacy_large_cap_core,keep,,,Industrials,Conglomerates,95000.0,0.0026710623254232,Original defended-thesis large-cap universe.
HWM,Howmet Aerospace Inc.,core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,23200.0,0.0008100729942817,Original defended-thesis large-cap universe.
IBM,International Business Machines,core,legacy_large_cap_core,keep,,,Technology,Information Technology Services,282200.0,0.0037157126128858,Original defended-thesis large-cap universe.
ICE,Intercontinental Exchange Inc.,core,legacy_large_cap_core,keep,,,Financial Services,Financial Data & Stock Exchanges,12900.0,0.0015527279249214,Original defended-thesis large-cap universe.
IDXX,"IDEXX Laboratories, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Diagnostics & Research,11000.0,0.0006073452940013,Original defended-thesis large-cap universe.
INTC,Intel Corporation,core,legacy_large_cap_core,keep,,,Technology,Semiconductors,124100.0,0.0015146801900038,Original defended-thesis large-cap universe.
INTU,Intuit Inc.,core,legacy_large_cap_core,keep,,,Technology,Software - Application,18800.0,0.0032401510776038,Original defended-thesis large-cap universe.
ISRG,"Intuitive Surgical, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Medical Instruments & Supplies,13676.0,0.0033606054313921,Original defended-thesis large-cap universe.
ITW,Illinois Tool Works Inc.,core,legacy_large_cap_core,keep,,,Industrials,Specialty Industrial Machinery,45000.0,0.0013750642379991,Original defended-thesis large-cap universe.
JCI,Johnson Controls International ,core,legacy_large_cap_core,keep,,,Industrials,Building Products & Equipment,100000.0,0.0009607083648975,Original defended-thesis large-cap universe.
JNJ,Johnson & Johnson,core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,131900.0,0.00625788135158,Original defended-thesis large-cap universe.
JPM,JP Morgan Chase & Co.,core,legacy_large_cap_core,keep,,,Financial Services,Banks - Diversified,316043.0,0.0120348036549762,Original defended-thesis large-cap universe.
KDP,Keurig Dr Pepper Inc.,core,legacy_large_cap_core,keep,,,Consumer Defensive,Beverages - Non-Alcoholic,28100.0,0.0007899656301242,Original defended-thesis large-cap universe.
KHC,The Kraft Heinz Company,core,legacy_large_cap_core,keep,,,Consumer Defensive,Packaged Foods,36000.0,0.000663947292711,Original defended-thesis large-cap universe.
KKR,KKR & Co. Inc.,core,legacy_large_cap_core,keep,,,Financial Services,Asset Management,4490.0,0.0024501679824236,Original defended-thesis large-cap universe.
KLAC,KLA Corporation,core,legacy_large_cap_core,keep,,,Technology,Semiconductor Equipment & Materials,15000.0,0.0015145861587321,Original defended-thesis large-cap universe.
KMB,Kimberly-Clark Corporation,core,legacy_large_cap_core,keep,,,Consumer Defensive,Household & Personal Products,41000.0,0.0007878959841485,Original defended-thesis large-cap universe.
KMI,"Kinder Morgan, Inc.",core,legacy_large_cap_core,keep,,,Energy,Oil & Gas Midstream,10891.0,0.0010731975477909,Original defended-thesis large-cap universe.
KO,Coca-Cola Company (The),core,legacy_large_cap_core,keep,,,Consumer Defensive,Beverages - Non-Alcoholic,79100.0,0.0048477981288716,Original defended-thesis large-cap universe.
KR,Kroger Company (The),core,legacy_large_cap_core,keep,,,Consumer Defensive,Grocery Stores,414000.0,0.0008051995804427,Original defended-thesis large-cap universe.
KVUE,Kenvue Inc.,core,legacy_large_cap_core,keep,,,Consumer Defensive,Household & Personal Products,22000.0,0.000750932925005,Original defended-thesis large-cap universe.
LIN,Linde plc,core,legacy_large_cap_core,keep,,,Basic Materials,Specialty Chemicals,65596.0,0.0036349300231416,Original defended-thesis large-cap universe.
