experiment,model,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_broader_targets2,random_forest,42,validation,6043,1435,0.2374648353466821,0.33350950055298784,0.8295846641502129,0.6307732914334956,0.5349214943151056,0.6885017421602787,0.6020719073735527,3749,859,447,988,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,42,test,4412,990,0.2243880326382593,0.33350950055298784,0.8292297610824787,0.636962738596539,0.4871447902571042,0.7272727272727273,0.5834683954619124,2664,758,270,720,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,202,train,17197,2723,0.15834157120427983,0.3723085500118864,0.9961713358297536,0.9769374262644539,0.7321860715246034,1.0,0.8453896305495188,13478,996,0,2723,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,202,validation,6043,1435,0.2374648353466821,0.3723085500118864,0.8284943016840884,0.6335123995737775,0.5847568988173456,0.6202090592334495,0.6019614474129185,3976,632,545,890,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,202,test,4412,990,0.2243880326382593,0.3723085500118864,0.8340526834682299,0.6421108701915609,0.5664585191793042,0.6414141414141414,0.6016106110847939,2936,486,355,635,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,777,train,17197,2723,0.15834157120427983,0.36611653749054296,0.9962524771836248,0.9776490694546494,0.7267147050974113,1.0,0.8417310664605873,13450,1024,0,2723,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,777,validation,6043,1435,0.2374648353466821,0.36611653749054296,0.8307879948219125,0.6345491976387624,0.579415501905972,0.6355400696864112,0.6061814556331007,3946,662,523,912,failure_pressure_balanced_next_4obs
test_broader_targets2,random_forest,777,test,4412,990,0.2243880326382593,0.36611653749054296,0.831192403284747,0.6414508790876897,0.5560200668896321,0.6717171717171717,0.6084172003659651,2891,531,325,665,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,42,train,17197,2723,0.15834157120427983,0.5191796031188771,0.9022054488931004,0.6888751539316469,0.4884526558891455,0.7767168564083731,0.5997447894512973,12259,2215,608,2115,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,42,validation,6043,1435,0.2374648353466821,0.5191796031188771,0.8274583817266744,0.6448097486813381,0.5337586390217969,0.6996515679442509,0.6055488540410132,3731,877,431,1004,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,42,test,4412,990,0.2243880326382593,0.5191796031188771,0.8348620630619461,0.632768270330691,0.4855994641661085,0.7323232323232324,0.5839710028191704,2654,768,265,725,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,202,train,17197,2723,0.15834157120427983,0.5217933117374699,0.9022054488931004,0.6888751539316469,0.4900092936802974,0.7745134043334557,0.6002561548313647,12279,2195,614,2109,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,202,validation,6043,1435,0.2374648353466821,0.5217933117374699,0.8274730509581882,0.6447487014777568,0.5360215053763441,0.6947735191637631,0.6051593323216995,3745,863,438,997,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,202,test,4412,990,0.2243880326382593,0.5217933117374699,0.834837563242005,0.6327167669695882,0.48787061994609165,0.7313131313131314,0.5852869846402587,2662,760,266,724,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,777,train,17197,2723,0.15834157120427983,0.5171557497797172,0.9022054488931004,0.6888751539316469,0.48669724770642203,0.7792875504957767,0.5991811379359028,12236,2238,601,2122,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,777,validation,6043,1435,0.2374648353466821,0.5171557497797172,0.8276236752322881,0.6445825404985109,0.5314648334214701,0.7003484320557491,0.6043295249549008,3722,886,430,1005,failure_pressure_balanced_next_4obs
test_broader_targets2,gradient_boosting,777,test,4412,990,0.2243880326382593,0.5171557497797172,0.8347900394948905,0.6325752606521027,0.4849899933288859,0.7343434343434343,0.5841703495379671,2650,772,263,727,failure_pressure_balanced_next_4obs
test_broader_targets2,logistic_l2,42,train,17164,5519,0.3215450943835936,0.37373966856593155,0.9477497735874921,0.8833666688592802,0.6787289234760052,0.9481790179380323,0.7911406757880414,9168,2477,286,5233,success_composite_balanced_next_4obs
test_broader_targets2,logistic_l2,42,validation,6012,1787,0.2972388556220892,0.37373966856593155,0.8936658245116773,0.7404239648529639,0.6423357664233577,0.8371572467823167,0.7269193391642371,3392,833,291,1496,success_composite_balanced_next_4obs
