experiment,model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_target_tweaks2,random_forest,all_features,42,test,4350,352,0.08091954022988505,0.3963409823300203,0.9526595684205739,0.5863589587818836,0.5698924731182796,0.7528409090909091,0.6487148102815178,3798,200,87,265,success_quality_growth_next_4obs
test_target_tweaks2,random_forest,all_features,202,train,17164,1390,0.08098345374038686,0.3951495336587438,0.9979516424897359,0.9754904063686685,0.7477138246369016,1.0,0.855647891658972,15305,469,0,1390,success_quality_growth_next_4obs
test_target_tweaks2,random_forest,all_features,202,validation,6012,488,0.08117099135063206,0.3951495336587438,0.9628480342113697,0.7216751758956866,0.6546489563567363,0.7069672131147541,0.6798029556650247,5342,182,143,345,success_quality_growth_next_4obs
test_target_tweaks2,random_forest,all_features,202,test,4350,352,0.08091954022988505,0.3951495336587438,0.951671148074037,0.5807545499139783,0.5717391304347826,0.7471590909090909,0.6477832512315271,3801,197,89,263,success_quality_growth_next_4obs
test_target_tweaks2,gradient_boosting,all_features,42,train,17164,1390,0.08098345374038686,0.8422173996094464,0.9808068417840851,0.797428537556254,0.7060333761232349,0.7913669064748201,0.7462686567164178,15316,458,290,1100,success_quality_growth_next_4obs
test_target_tweaks2,gradient_boosting,all_features,42,validation,6012,488,0.08117099135063206,0.8422173996094464,0.9610774444747807,0.7149849245608115,0.68125,0.6700819672131147,0.6756198347107438,5371,153,161,327,success_quality_growth_next_4obs
test_target_tweaks2,gradient_boosting,all_features,42,test,4350,352,0.08091954022988505,0.8422173996094464,0.950832660648506,0.5758869418581438,0.5714285714285714,0.6931818181818182,0.626444159178434,3815,183,108,244,success_quality_growth_next_4obs
test_target_tweaks2,gradient_boosting,all_features,202,train,17164,1390,0.08098345374038686,0.8422173996094464,0.9808068417840851,0.797428537556254,0.7060333761232349,0.7913669064748201,0.7462686567164178,15316,458,290,1100,success_quality_growth_next_4obs
test_target_tweaks2,gradient_boosting,all_features,202,validation,6012,488,0.08117099135063206,0.8422173996094464,0.961015123277264,0.7145573014796115,0.6820083682008368,0.6680327868852459,0.6749482401656315,5372,152,162,326,success_quality_growth_next_4obs
test_target_tweaks2,gradient_boosting,all_features,202,test,4350,352,0.08091954022988505,0.8422173996094464,0.9507658658874891,0.5754338275331973,0.5714285714285714,0.6931818181818182,0.626444159178434,3815,183,108,244,success_quality_growth_next_4obs
test_target_tweaks3,logistic_l2,all_features,42,train,17197,3146,0.18293888468918998,0.6956826617952858,0.9417851317489649,0.8204538782363895,0.7455384615384615,0.770184361093452,0.757661038148843,13224,827,723,2423,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,logistic_l2,all_features,42,validation,6043,1457,0.24110541121959292,0.6956826617952858,0.8023645417807952,0.6121449861060442,0.4480830670926518,0.7700754975978037,0.5665236051502146,3204,1382,335,1122,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,logistic_l2,all_features,42,test,4412,1052,0.2384406165004533,0.6956826617952858,0.8999799135433642,0.8071559819912972,0.2744889832758163,0.9828897338403042,0.42913467524382654,627,2733,18,1034,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,random_forest,all_features,42,train,17197,3146,0.18293888468918998,0.43791897374744054,0.9971791977666681,0.9861610234936614,0.8988505747126436,0.9942784488239034,0.9441593721702385,13699,352,18,3128,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,random_forest,all_features,42,validation,6043,1457,0.24110541121959292,0.43791897374744054,0.9330016064528701,0.8438249637828454,0.797841726618705,0.7611530542210021,0.7790656831752721,4305,281,348,1109,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,random_forest,all_features,42,test,4412,1052,0.2384406165004533,0.43791897374744054,0.9560318780554048,0.9058165468187015,0.8401639344262295,0.779467680608365,0.8086785009861933,3204,156,232,820,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,random_forest,all_features,202,train,17197,3146,0.18293888468918998,0.4212299011082734,0.9971668008236095,0.9861337588035665,0.8842788597233983,0.9958677685950413,0.9367618478098371,13641,410,13,3133,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,random_forest,all_features,202,validation,6043,1457,0.24110541121959292,0.4212299011082734,0.9327262316363163,0.8422151838525334,0.78601108033241,0.7789979409746054,0.7824887969665634,4277,309,322,1135,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,random_forest,all_features,202,test,4412,1052,0.2384406165004533,0.4212299011082734,0.955453897338403,0.9061361851057111,0.8383233532934131,0.7984790874524715,0.8179162609542358,3198,162,212,840,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,gradient_boosting,all_features,42,train,17197,3146,0.18293888468918998,0.6332032975753068,0.9737253239187751,0.9063581408068903,0.8016061867935752,0.8566433566433567,0.8282114320835894,13384,667,451,2695,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,gradient_boosting,all_features,42,validation,6043,1457,0.24110541121959292,0.6332032975753068,0.934481072620829,0.849286048166227,0.787292817679558,0.7824296499656829,0.7848537005163512,4278,308,317,1140,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,gradient_boosting,all_features,42,test,4412,1052,0.2384406165004533,0.6332032975753068,0.9538032715462611,0.8962230888072859,0.8190567853705486,0.80893536121673,0.8139646102343376,3172,188,201,851,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,gradient_boosting,all_features,202,train,17197,3146,0.18293888468918998,0.6332032975753068,0.9737253239187751,0.9063581408068903,0.8016061867935752,0.8566433566433567,0.8282114320835894,13384,667,451,2695,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,gradient_boosting,all_features,202,validation,6043,1457,0.24110541121959292,0.6332032975753068,0.9344833175242248,0.8491723949024859,0.7878369039391845,0.7824296499656829,0.7851239669421487,4279,307,317,1140,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,gradient_boosting,all_features,202,test,4412,1052,0.2384406165004533,0.6332032975753068,0.9537990279286621,0.896235745186882,0.8188824662813102,0.8079847908745247,0.8133971291866029,3172,188,202,850,failure_pressure_balance_liquidity_next_4obs
test_target_tweaks3,logistic_l2,all_features,42,train,17164,4839,0.2819272896760662,0.44963008745205146,0.9378231550866922,0.8389299200492364,0.6447808996942787,0.915271750361645,0.756576699692518,9885,2440,410,4429,success_stable_balance_next_4obs
test_target_tweaks3,logistic_l2,all_features,42,validation,6012,1577,0.26230871590153026,0.44963008745205146,0.9090519795910634,0.7258103482281524,0.6556122448979592,0.8148383005707038,0.7266044670624823,3760,675,292,1285,success_stable_balance_next_4obs
test_target_tweaks3,logistic_l2,all_features,42,test,4350,1188,0.2731034482758621,0.44963008745205146,0.8856597814535829,0.6656989206161245,0.695752009184845,0.51010101010101,0.5886352598348713,2897,265,582,606,success_stable_balance_next_4obs
test_target_tweaks3,random_forest,all_features,42,train,17164,4839,0.2819272896760662,0.44375999117431386,0.9972326436613939,0.9932258024349156,0.8806024981631153,0.990700557966522,0.9324127200233395,11675,650,45,4794,success_stable_balance_next_4obs
test_target_tweaks3,random_forest,all_features,42,validation,6012,1577,0.26230871590153026,0.44375999117431386,0.9616709763161111,0.8982657092000131,0.7809264305177112,0.9086873811033608,0.8399765533411488,4033,402,144,1433,success_stable_balance_next_4obs
test_target_tweaks3,random_forest,all_features,42,test,4350,1188,0.2731034482758621,0.44375999117431386,0.9614434456306689,0.8808458951811652,0.7665726375176305,0.914983164983165,0.8342287029930928,2831,331,101,1087,success_stable_balance_next_4obs
