target,feature_set,model,runs,positives,positive_share,roc_auc_mean,pr_auc_mean,precision_mean,recall_mean,f1_mean
success_composite_strict_next_4obs,ratios_trends_only,gradient_boosting,1,788.0,0.1811494252873563,0.9620140826604571,0.8126519513602535,0.7418981481481481,0.8134517766497462,0.7760290556900726
success_composite_strict_next_4obs,ratios_trends_only,random_forest,1,788.0,0.1811494252873563,0.9603093283018438,0.8107380675371951,0.7261904761904762,0.8515228426395939,0.7838785046728971
success_composite_strict_next_4obs,firm_core,random_forest,1,788.0,0.1811494252873563,0.9585807038195049,0.8101486066482315,0.7164021164021164,0.8591370558375635,0.7813040969417195
success_composite_strict_next_4obs,all_features,gradient_boosting,1,788.0,0.1811494252873563,0.9614515315356398,0.8099933673225075,0.7304730473047305,0.8426395939086294,0.7825574543311727
success_composite_strict_next_4obs,all_features,random_forest,1,788.0,0.1811494252873563,0.9600823839911987,0.8050046012704076,0.7514934289127837,0.7982233502538071,0.7741538461538461
success_composite_strict_next_4obs,raw_accounting_only,random_forest,1,788.0,0.1811494252873563,0.9358077151090044,0.7376641535132352,0.6404145077720207,0.7842639593908629,0.7050770108385623
success_composite_strict_next_4obs,raw_accounting_only,gradient_boosting,1,788.0,0.1811494252873563,0.9347137865284147,0.714385560188907,0.6345338983050848,0.7601522842639594,0.6916859122401848
success_composite_strict_next_4obs,firm_core,logistic_l2,1,788.0,0.1811494252873563,0.9370445081614446,0.7036537009364277,0.6253776435045317,0.7880710659898477,0.6973610331274563
success_composite_strict_next_4obs,ratios_trends_only,logistic_l2,1,788.0,0.1811494252873563,0.9351160159267166,0.700000873407517,0.6118546845124283,0.8121827411167513,0.6979280261723009
success_composite_strict_next_4obs,all_features,logistic_l2,1,788.0,0.1811494252873563,0.9241254271683336,0.6542996266623576,0.6651718983557549,0.5647208121827412,0.6108442004118052
success_composite_strict_next_4obs,raw_accounting_only,logistic_l2,1,788.0,0.1811494252873563,0.8931491319825454,0.5804621860228684,0.4604221635883905,0.8857868020304569,0.6059027777777778
success_composite_strict_next_4obs,macro_event_only,random_forest,1,788.0,0.1811494252873563,0.6249419279079511,0.25909427720659806,0.22575032622879512,0.6586294416243654,0.33624878522837703
success_composite_strict_next_4obs,macro_event_only,gradient_boosting,1,788.0,0.1811494252873563,0.6233461923233682,0.2561575143545593,0.2931854199683043,0.23477157360406092,0.2607470049330515
success_composite_strict_next_4obs,macro_event_only,logistic_l2,1,788.0,0.1811494252873563,0.5474203165392169,0.20464116320598716,0.2537313432835821,0.021573604060913704,0.039766081871345026
success_quality_growth_next_4obs,ratios_trends_only,gradient_boosting,1,352.0,0.08091954022988505,0.9536124596389103,0.5990870421029244,0.5572354211663066,0.7329545454545454,0.6331288343558282
success_quality_growth_next_4obs,ratios_trends_only,random_forest,1,352.0,0.08091954022988505,0.9512270339715312,0.5955025934761892,0.5849889624724062,0.7528409090909091,0.6583850931677018
success_quality_growth_next_4obs,firm_core,gradient_boosting,1,352.0,0.08091954022988505,0.9526783988585201,0.5944967707764917,0.5471698113207547,0.7414772727272727,0.629674306393245
success_quality_growth_next_4obs,firm_core,random_forest,1,352.0,0.08091954022988505,0.9511545545500024,0.5941079836718708,0.5601659751037344,0.7670454545454546,0.6474820143884892
success_quality_growth_next_4obs,all_features,random_forest,1,352.0,0.08091954022988505,0.9526595684205739,0.5863589587818836,0.5698924731182796,0.7528409090909091,0.6487148102815178
success_quality_growth_next_4obs,all_features,gradient_boosting,1,352.0,0.08091954022988505,0.950832660648506,0.5758869418581438,0.5714285714285714,0.6931818181818182,0.626444159178434
success_quality_growth_next_4obs,raw_accounting_only,random_forest,1,352.0,0.08091954022988505,0.9434589453817819,0.5452835375437391,0.5570776255707762,0.6931818181818182,0.6177215189873417
success_quality_growth_next_4obs,raw_accounting_only,gradient_boosting,1,352.0,0.08091954022988505,0.9322630065032516,0.5168204842393606,0.5420289855072464,0.53125,0.5365853658536586
success_quality_growth_next_4obs,firm_core,logistic_l2,1,352.0,0.08091954022988505,0.9220490927281824,0.4620767526164877,0.46065259117082535,0.6818181818181818,0.5498281786941581
success_quality_growth_next_4obs,ratios_trends_only,logistic_l2,1,352.0,0.08091954022988505,0.9208155213970622,0.45601462400344356,0.45564516129032256,0.6420454545454546,0.5330188679245284
success_quality_growth_next_4obs,all_features,logistic_l2,1,352.0,0.08091954022988505,0.9068461787712037,0.4086517747875224,0.42613636363636365,0.6392045454545454,0.5113636363636364
success_quality_growth_next_4obs,raw_accounting_only,logistic_l2,1,352.0,0.08091954022988505,0.8897840255354951,0.39493288987378333,0.4618937644341801,0.5681818181818182,0.5095541401273885
success_quality_growth_next_4obs,macro_event_only,gradient_boosting,1,352.0,0.08091954022988505,0.701063244690527,0.15755512300479052,0.18309859154929578,0.2585227272727273,0.21436984687868083
success_quality_growth_next_4obs,macro_event_only,random_forest,1,352.0,0.08091954022988505,0.6762980211696757,0.15546651953875526,0.17966101694915254,0.15056818181818182,0.16383307573415765
success_quality_growth_next_4obs,macro_event_only,logistic_l2,1,352.0,0.08091954022988505,0.5938029384010187,0.11789506951494921,0.1939655172413793,0.1278409090909091,0.1541095890410959
success_resilience_quality_v2_next_4obs,firm_core,random_forest,1,1449.0,0.3331034482758621,0.9697008408846906,0.9307265042301898,0.836272040302267,0.9164941338854382,0.8745472505762265
success_resilience_quality_v2_next_4obs,ratios_trends_only,random_forest,1,1449.0,0.3331034482758621,0.9696068726687854,0.9304688640802946,0.8565737051792829,0.8902691511387164,0.8730964467005077
success_resilience_quality_v2_next_4obs,all_features,random_forest,1,1449.0,0.3331034482758621,0.9691777115004488,0.9287024851531621,0.8381795195954488,0.9151138716356108,0.8749587594853184
