experiment,target,model,feature_set,seed,feature,feature_clean,feature_group,importance,signed_value
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__cash_flow_operating,cash_flow_operating,accounting_fundamental,0.01179582204119355,0.01179582204119355
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__total_revenue,total_revenue,accounting_fundamental,0.011737103227567323,0.011737103227567323
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__cash_equivalents,cash_equivalents,accounting_fundamental,0.009777577263333045,0.009777577263333045
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__total_assets_growth_4obs,total_assets_growth_4obs,firm_trend,0.008676027464832583,0.008676027464832583
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__equity_assets,equity_assets,financial_ratio,0.007944096671496552,0.007944096671496552
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__roa_change_4obs,roa_change_4obs,firm_trend,0.006815945067363887,0.006815945067363887
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__cash_assets,cash_assets,financial_ratio,0.0066550293024050106,0.0066550293024050106
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__cash_assets_lag1,cash_assets_lag1,firm_trend,0.006510153132522049,0.006510153132522049
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__receivables_assets,receivables_assets,financial_ratio,0.006413751397114292,0.006413751397114292
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__net_margin_change_4obs,net_margin_change_4obs,firm_trend,0.005978979025097055,0.005978979025097055
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__inventory_assets,inventory_assets,financial_ratio,0.005733666055216784,0.005733666055216784
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__total_revenue_growth_4obs,total_revenue_growth_4obs,firm_trend,0.005718890863479484,0.005718890863479484
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__current_ratio,current_ratio,financial_ratio,0.005523738002261183,0.005523738002261183
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__capex,capex,accounting_fundamental,0.005363215612096806,0.005363215612096806
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__current_ratio_lag1,current_ratio_lag1,firm_trend,0.004966139447920977,0.004966139447920977
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__current_assets_growth_4obs,current_assets_growth_4obs,firm_trend,0.00478386714541482,0.00478386714541482
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__operating_margin_change_4obs,operating_margin_change_4obs,firm_trend,0.004351375782774665,0.004351375782774665
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__gross_profit,gross_profit,accounting_fundamental,0.0043063337130701245,0.0043063337130701245
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__current_liabilities_growth_4obs,current_liabilities_growth_4obs,firm_trend,0.004244640267031288,0.004244640267031288
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,cat__Sector_Energy,Sector_Energy,sector,0.004049519885290971,0.004049519885290971
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__DTWEXBGS_yoy_pct,DTWEXBGS_yoy_pct,macro,0.004024905726742939,0.004024905726742939
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__DCOILWTICO,DCOILWTICO,macro,0.003965729392576855,0.003965729392576855
test_target_tweaks1,failure_pressure_conservative_v2_next_4obs,random_forest,all_features,42,num__leverage_assets,leverage_assets,financial_ratio,0.003810023940398078,0.003810023940398078
