model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
extra_trees_cfg3_seed202,test,5872,96,0.10076445111140209,0.7885647506925206,0.1451171170157162,0.15611814345991562,0.3854166666666667,0.2222222222222222,5576,200,59,37,distress_next_4q,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.211
extra_trees_cfg3_seed777,train,17145,58,0.12773606249702307,1.0,1.0000000000000002,0.10603290676416818,1.0,0.19173553719008266,16598,489,0,58,distress_next_4q,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.239
extra_trees_cfg3_seed777,validation,6045,53,0.12773606249702307,0.8469043630501044,0.18067344602653163,0.15,0.39622641509433965,0.21761658031088082,5873,119,32,21,distress_next_4q,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.239
extra_trees_cfg3_seed777,test,5872,96,0.12773606249702307,0.8093448825600185,0.14272962157142668,0.17307692307692307,0.375,0.23684210526315785,5604,172,60,36,distress_next_4q,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.239
gradient_boosting_cfg1_seed42,train,17145,58,0.5431416891751213,0.9995378620164957,0.8496427662202133,0.21481481481481482,1.0,0.3536585365853659,16875,212,0,58,distress_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.875
gradient_boosting_cfg1_seed42,validation,6045,53,0.5431416891751213,0.8789077260246366,0.07820204104936176,0.13592233009708737,0.2641509433962264,0.1794871794871795,5903,89,39,14,distress_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.875
gradient_boosting_cfg1_seed42,test,5872,96,0.5431416891751213,0.8297580144852262,0.14484613020385192,0.1951219512195122,0.3333333333333333,0.24615384615384614,5644,132,64,32,distress_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.875
gradient_boosting_cfg1_seed202,train,17145,58,0.6479993703217788,0.999517681318526,0.8608445198277473,0.2885572139303483,1.0,0.4478764478764479,16944,143,0,58,distress_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.842
gradient_boosting_cfg1_seed202,validation,6045,53,0.6479993703217788,0.8947621986548102,0.09573662509518623,0.18181818181818182,0.22641509433962265,0.20168067226890757,5938,54,41,12,distress_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.842
gradient_boosting_cfg1_seed202,test,5872,96,0.6479993703217788,0.8367715907779316,0.13820106619636913,0.20168067226890757,0.25,0.22325581395348837,5681,95,72,24,distress_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.842
gradient_boosting_cfg1_seed777,train,17145,58,0.6176798116715585,0.999542907190988,0.8482106480084078,0.26126126126126126,1.0,0.41428571428571426,16923,164,0,58,distress_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.736
gradient_boosting_cfg1_seed777,validation,6045,53,0.6176798116715585,0.8814756152857899,0.08727734622320293,0.1625,0.24528301886792453,0.19548872180451124,5925,67,40,13,distress_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.736
gradient_boosting_cfg1_seed777,test,5872,96,0.6176798116715585,0.836377539242844,0.14174988931747085,0.2,0.2916666666666667,0.23728813559322035,5664,112,68,28,distress_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,17.736
gradient_boosting_cfg2_seed42,train,17145,58,0.03550183716980623,1.0,1.0000000000000002,0.07988980716253444,1.0,0.14795918367346939,16419,668,0,58,distress_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.365
gradient_boosting_cfg2_seed42,validation,6045,53,0.03550183716980623,0.9020706854422249,0.0922275155049884,0.1039426523297491,0.5471698113207547,0.1746987951807229,5742,250,24,29,distress_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.365
gradient_boosting_cfg2_seed42,test,5872,96,0.03550183716980623,0.8268039805517082,0.12124697213389374,0.12200956937799043,0.53125,0.19844357976653695,5409,367,45,51,distress_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.365
gradient_boosting_cfg2_seed202,train,17145,58,0.0670084283728438,1.0,1.0,0.1309255079006772,1.0,0.23153692614770457,16702,385,0,58,distress_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.244
gradient_boosting_cfg2_seed202,validation,6045,53,0.0670084283728438,0.9023414867622238,0.07855376327493595,0.1111111111111111,0.3584905660377358,0.16964285714285712,5840,152,34,19,distress_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.244
gradient_boosting_cfg2_seed202,test,5872,96,0.0670084283728438,0.8177344832063713,0.11517623568840145,0.14130434782608695,0.40625,0.20967741935483872,5539,237,57,39,distress_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,36.244
